family	ERR2213660	ERR2213661	ERR2213662	ERR2213663	ERR2213664	ERR2213665	ERR2213666	ERR2213667	ERR2213668	ERR2213669	ERR2213670	ERR2213671	ERR2213672	ERR2213673	ERR2213674	ERR2213675	ERR2213676	ERR2213677	ERR2213678	ERR2213679	ERR2213680	ERR2213681	ERR2213682	ERR2213683	ERR2213684	ERR2213685	ERR2213686	ERR2213687	ERR2213688	ERR2213689	ERR2213690	ERR2213691	ERR2213692	ERR2213693	ERR2213694	ERR2213695	ERR2213696	ERR2213697	ERR2213698	ERR2213699	ERR2213700	ERR2213701	ERR2213702	ERR2213703	ERR2213704	ERR2213705	ERR2213706	ERR2213707	ERR2213708	ERR2213709	ERR2213710	ERR2213711	ERR2213712	ERR2213713	ERR2213714	ERR2213715	ERR2213716	ERR2213717	ERR2213718	ERR2213719	ERR2213720	ERR2213721	ERR2213722	ERR2213723	ERR2213724	ERR2213725	ERR2213726	ERR2213727	ERR2213728	ERR2213729	ERR2213730	ERR2213731	ERR2213732	ERR2213733	ERR2213734	ERR2213735	ERR2213736	ERR2213737	ERR2213738	ERR2213739	ERR2213740	ERR2213741	ERR2213742	ERR2213743	ERR2235210	ERR2235211	ERR2235212	ERR2235213	ERR2235214	ERR2235215	ERR2235216	ERR2235217	ERR2235218	ERR2235219	ERR2235220	ERR2235221	ERR2235222	ERR2235223	ERR2235224	ERR2235225	ERR2235226	ERR2235227	ERR2235228	ERR2235229	ERR2235230	ERR2235231	ERR2235232	ERR2235233	ERR2235234	ERR2235235	ERR2235236	ERR2235237	ERR2235238	ERR2235239	ERR2235240	ERR2235241	ERR2235242	ERR2235243	ERR2235244	ERR2235245	ERR2235246	ERR2235247	ERR2235248	ERR2235249	ERR2235250	ERR2235251	ERR2235252	ERR2235253	ERR2235254	ERR2235255	ERR2235256	ERR2235257	ERR2235258	ERR2235259	ERR2235260	ERR2235261	ERR2235262	ERR2235263	ERR2235264	ERR2235265	ERR2235266	ERR2235267	ERR2235268	ERR2235269	ERR2235270	ERR2235271	ERR2235272	ERR2235273	ERR2235274	ERR2235275	ERR2235276	ERR2235277	ERR2235278	ERR2235279	ERR2235280	ERR2235281	ERR2235282	ERR2235283	ERR2235284	ERR2235285	ERR2235286	ERR2235287	ERR2235288	ERR2235289	ERR2235290	ERR2235291	ERR2235292	ERR2235293	ERR2235294	ERR2235295	ERR2235296	ERR2235297	ERR2235298	ERR2235299	ERR2235300	ERR2235301	ERR2235302	ERR2235303	ERR2235304	ERR2235305	ERR2235306	ERR2235307	ERR2235308	ERR2235309	ERR2235310	ERR2235311	ERR2235312	ERR2235313	ERR2235314	ERR2235315	ERR2235316	ERR2235317	ERR2235318	ERR2235319	ERR2235320	ERR2235321	ERR2235322	ERR2235323	ERR2235324	ERR2235325	ERR2235326	ERR2235327	ERR2235328	ERR2235329	ERR2235330	ERR2235331	ERR2235332	ERR2235333	ERR2235334	ERR2235335	ERR2235336	ERR2235337	ERR2235338	ERR2235339	ERR2235340	ERR2235341	ERR2235342	ERR2235343	ERR2235344
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0.03273	1.68058	0.22693	0.25459	3.0348	0.61828	0.71356	2.20477	1.36038	1.97805	0.04372	0.60506	0.34901	5.92328	0.64674	1.21213	0.64752	1.61887	1.54445	0.23906	0.93957	0.12386	0.53468	0.53979	0.55878	2.92596	3.2112	2.85153	0.01326	0.12073	0.07009	0	0	0	0.00488	0.20594	0	0.70354	0.28152	0	0.04099	7.58582	2.74667	3.15348	0.11101	0.01603	0.01823	1.11621	0.7938	0.74067	0	3.89123	0.27497	1.84044	0	0.19263	0.88698	2.27369	4.03582	0.14325	0.57789	0.25779	0	0	0	0.15045	0.07489	2.51796	5.23497	0.98743	0.53053	0.21	1.93208	0	0.01656	0.1822	1.28948	0.23025	0.05685	0.03853	0	0	0	0	0.00295	6.79414	0.34273	2.19734	6.13389	0	0	0.67166	0	0.72236	0.01638	3.49948	2.32582	0.97307	0.04607	0	6.51773	1.67113	1.48829	0.00872	0.00291	0.05725	0.02924	0.06474	0.04881	1.33478	0.03685	0.87355	0.22266	0	1.99892	0.93768	0	0.11111	0.3096	0.83992	0.03575	0.01162	1.15397	1.92613	0.8594	3.60025	1.34555	0.3519	0.5152	0.99818	0.92163	0.42792	0.0611	0.04476	0.45927	0.6652	1.27379	0	0	0.14607	0.35212	1.17127	0.95004	9.22546	6.82214	0.66268	0.41807	1.70824	0.38572	0.35904	3.11139	0.06499	0	0	0	0	0.58803	0.88955	0.00442	0	0.0155	1.55683	0.54457	0.38291	0.1782	0.02533	0.14611	0.06054	0.02526	0	1.03579	0.30353	0.06924	0.18263	0.2222	3.80021	3.16436	0.57883	2.24992	0.67361	0.02516	0.03903	0.02387	0.28507	0.25135	0.14086	0.31475	0.12933	0.11962	0.01148	0.81167	0.46123	1.10774	1.23436	4.44132	0.10225	0	0.03787	16.49356	0	0.60705	0.57837	0.0031	1.67019	0.59297	0.62033	0.15955	0.06701	0.10711	1.37009	0	1.46935	1.83757	0.41705	0.22313	0.42152	0.51789	0.0222	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.13104	0.09522	0.18075	0.30367	0.5427	0	0.10012	0.92156	0.53079	0.79831	0.40203	0.054	0.13513	0.35302	0.73204	0.48732	0.26464	0.43794	0.53262	0.05055	0.24073	0.08016	0.07942	0.10883	0.15433	0.63042	0.37626	0.73528	0.08995	0.00627	0.03715	0.17263	0.83806	3.73283	0.249	0.2847	0.2718	0.66973	1.33208	0	0.0966	0	0.25126	1.15108	0.36444	0.82927	0.36447	0.19236	0.18675	0.06486	1.13952	0.69588	4.01539	0.31521	1.03671	0.32884	1.15852	0.22664	0.76496	0.80878	0.6101	0.63243	0.5078	0.18875	0.05796	0.62423	0.23479	0.44188	0.4052	0.42827	0.20291	0.04232	0.15702	0.79345	0	0.18699	1.24007	0.04528	0.10029	0.14549	0.16923	0.20994	0.16077	0.11092	0.01434	8.80202	0.0954	0.62559	0.03159	0	0.07715	0.06917	0.13151	0.38516	0.75424	1.86314	0.10338	0.14304	0.10153	0.66668	0.23561	0.13693	0.73855	0.43025	0.62704	0.2854	0.0252	0.10146	0.54634	0.09589	0.57257	0.64852	0.10581	0.24473	1.00863	0.31511	0.06486	0.02036	0.73642	0.03664	0.10251	0.19336	0.32066	0.59098	0.43248	0.14828	0.05073	0.03889	0.08722	0	0.66728	0.19492	0.09757	0.0153	0.07945	0.06179	0.09983	0.06823	0.0649	0.14441	0.12247	0.17397	0.10311	0.82576	0.45302	0.42681	0.40463	0.8956	1.38755	1.00131	0.74826	0.03646	0.24542	0.15317	0.14519	0.03253	0.24255	0.15282	0.04306	0.04107	0.04433	0.02921	0.14533	0.06026	0.07226	0.12246	0.22227	0.61252	0.29378	0.10741	0.72093	0.3277	0.24061	0.19506	0.35086	0.33761	0.70469	3.76345	0.07024	0.14738	0.02443	0.04183	0.06802	0.40959	0.43355	0.10914	0.09928	0.00996	0	0.01604	0.58262	0.26567	0.18545	0.49824	0.19626	0.01007	0.69473	0.0352	1.36122	0.1743	0.09642	0.12575	0.04759	0.21125	0.22203	0.30478	0.20563	0.1025	0.02654	0.03153	0.38015	0.67753	0.67232	0.43827	0.33326	0.16172	0.37678	0.01838	0.0526
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname|o__Bacteroidetes_noname|f__Bacteroidetes_noname	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	33.42882	34.50586	21.65532	0	16.59571	45.23752	37.75085	14.43897	31.1373	25.8555	49.56801	29.94537	53.25002	13.10599	10.54136	49.78371	35.57807	59.53664	65.00418	46.04368	24.60598	17.8089	59.26912	37.32172	40.81521	24.54597	30.93206	24.96161	18.38527	18.44867	17.51192	56.33732	37.63513	62.73849	22.18528	30.3233	53.1883	39.34666	30.71084	49.65331	19.77125	0	14.95792	20.6898	21.18096	34.58088	28.25472	17.69471	13.46609	13.97911	15.46836	30.07709	33.61618	19.04563	12.44615	13.54438	23.53727	33.01781	20.18475	18.93953	28.80244	27.3407	19.59474	10.95352	46.08148	7.0155	38.5657	49.32908	59.02255	52.51942	56.99514	45.77703	51.41649	11.85682	40.29323	11.5462	14.90976	13.32697	16.87048	10.66392	57.77224	38.25058	45.78868	25.82452	3.53366	17.19826	54.01216	27.77681	29.67775	0.30634	28.82907	41.57372	38.07406	24.85496	4.98105	9.59165	34.5173	31.38912	24.6231	34.45873	25.14694	21.76188	9.31882	24.34547	56.13169	11.63857	58.39366	46.86283	54.56584	45.43661	20.88701	23.29395	14.16545	32.41644	11.04299	24.27858	66.46667	51.54369	38.9937	55.08494	52.17851	51.48982	24.93572	14.4776	16.07942	28.63898	21.43087	30.50713	34.15883	0	31.85896	23.5425	28.38008	30.58094	23.3986	38.53584	31.71382	31.4068	32.8714	56.8081	49.40858	36.98593	47.03863	36.88155	30.80361	3.24711	14.51319	5.23026	24.07534	18.8131	10.07886	23.81439	27.66652	27.62911	57.41129	47.89421	57.61066	23.61953	16.02062	31.31292	29.13733	22.19183	24.06744	41.88378	14.62004	13.35038	16.80258	28.68787	31.81184	26.1147	14.4866	34.04662	53.00602	14.09484	12.45709	15.73592	24.18844	13.26943	27.62043	40.74384	34.1164	26.07073	35.08906	18.07016	19.16396	8.31665	7.48979	34.86522	61.07789	10.72596	18.46942	11.99149	10.54762	22.5388	24.22941	16.59191	25.1571	16.99703	26.97546	44.27926	11.74777	27.98603	19.3641	19.8604	23.65522	9.88314	31.13369	50.68131	24.37372	50.84373	25.45866	35.33534	23.66461	66.68799	17.64361	20.83424	17.15653	20.8221	47.62265
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname	0.14961	0.82146	1.39257	0	2.17099	0	1.75404	2.88639	1.76749	0	0	0.90992	0.31889	2.21608	0.42923	0	0	0	0	0	1.0194	2.42445	1.00315	1.27253	0.69513	0	0	0	1.05456	0.12416	0.19636	1.52046	3.25867	0.46196	0.48316	0.6346	0.51666	2.10997	0.67228	0	1.14951	1.55106	0.6335	0.52717	2.71247	1.61399	0.2573	0.23046	0.35669	0.28606	0.19305	1.12052	0	0.80398	0.00252	0.50509	2.45013	0	0.32581	0.25182	0.6316	0.48894	0.44852	1.00743	0.30576	1.53755	0.02918	0.62058	1.20243	0.68277	0.80009	0.27207	0	0.65227	0	3.42501	0	0.39347	0.7877	0.66796	0.43846	4.7847	4.81635	4.41613	0.05031	0	0	0	2.24239	0	0	0	0.54232	0.51978	0	0	2.1307	0.30843	0.10626	0	0.53375	0	0.56592	0.85607	0	0.42411	0.03847	0	0	0.07394	0.21998	0.57019	0	0.94429	0.26205	0.90734	0	0.66782	0	0.29322	0.26936	0.70719	1.21699	0.53109	0.77996	0	0	0.41601	0.5074	0	1.18848	0	1.48444	0.15488	1.45403	1.1141	2.29557	1.79681	1.56397	1.62123	2.5825	3.15435	0.3171	0.61764	0.51155	0.05323	0.049	0.04639	0.3716	0	0	0.05047	0.77923	0.17259	0	0	0.48059	0.09	0.16795	0.46165	0.31193	0.22638	1.7133	1.3836	3.35416	1.18246	0.3962	3.55311	1.64423	2.15905	3.43884	0.38267	0.0825	0.19811	0.04201	0.38938	0.89709	0.45405	0.93088	0.36318	0.94567	1.01854	1.45797	0.27008	0.14248	0.04868	0.10697	0.29622	0	0.07573	0.04001	0.54533	1.85833	0.67713	1.41479	1.33128	1.45641	0.0559	0	0.04991	0.06875	0	0.33042	1.42593	0.74014	0	0.31921	0	0.24082	0.98923	0.47009	0.81296	4.37237	0.24717	0.39693	0.65319	1.21346	0.82467	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	4.62899	6.49383	5.86509	0	9.51962	0	11.51737	11.11717	20.60788	8.37419	13.73224	2.38035	5.73485	7.75522	2.68565	0.008	5.83383	12.22893	6.79208	5.97154	3.98887	9.67348	10.26541	13.31033	16.12156	2.62095	1.34226	1.8831	14.79738	6.8474	8.45798	5.83134	6.06986	16.20192	8.78755	5.30868	5.13511	4.69369	4.15172	28.43796	5.30362	0	0.00595	0.00265	10.19895	3.94384	11.39793	2.097	3.17307	2.82145	4.29909	3.86097	7.19295	4.83411	9.49616	19.33446	7.9617	4.51565	10.49314	2.92592	6.0215	27.02818	7.25158	8.7174	14.12377	6.24307	8.67661	11.95945	4.97787	3.72215	5.46508	3.84775	8.96116	2.54939	5.80886	9.48017	13.40303	6.88756	10.2412	8.72316	3.47415	2.79187	3.56183	1.9477	1.1597	11.16821	4.50742	7.22907	12.16553	99.20071	18.87761	0.82769	6.60328	9.09855	4.24935	0	2.71982	5.7776	8.04185	38.83235	6.15564	3.39053	9.01714	5.42588	7.81603	5.07694	6.16122	12.55974	5.72268	29.74282	6.49306	11.22571	4.8068	6.82225	7.65478	12.38876	3.52059	16.23367	27.63165	6.67897	9.55853	6.41718	11.23152	13.44291	14.73434	0.71047	0.95287	7.95763	5.84386	0	9.65552	11.49054	15.42597	4.9768	10.32458	8.4997	12.62186	10.07103	9.54745	6.66756	5.33641	6.87082	5.2944	6.1035	4.93787	5.1475	6.27861	7.63501	5.94582	13.55714	3.76215	4.04141	6.77251	5.41985	3.70279	5.33947	5.60387	1.61928	2.68	4.56794	3.72424	7.60257	5.75708	5.37996	7.87631	6.76526	9.14108	11.34971	14.25844	11.18017	4.14241	14.30414	11.80057	21.33906	8.48962	2.87967	9.02989	6.13052	4.9933	6.80194	8.05914	10.4192	6.97641	5.7555	8.50132	6.36936	4.76814	6.74211	0	1.06828	13.31513	8.64789	5.82979	17.5115	3.29562	4.52246	17.23699	3.06344	16.77186	6.26165	3.31743	5.84875	5.84381	15.95456	4.8388	9.05818	8.28692	7.86432	7.29834	6.91279	16.24353	8.08673	13.49344	6.9733	6.83384	4.99779	5.49062	20.04768	10.61254
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	0	0	0	0	0.34835	0	0	0	0	0	0.00819	6.47612	2.10382	0	0.42634	0	0	0.00033	0	0	0.1876	0	0	0	0.06167	0	0	0	5.38202	2.75107	2.79697	0	0	0	0	0	0.00087	0	0	0	0	0	0	0	0	1.08833	7.62926	0	0	0	0.36341	0.10444	0	0	0	4.11204	4.82462	0	0	2.04741	3.88889	0	12.31886	0	0	0	3.06458	0	0.02089	0	0	0	0	0.85714	0	0	0	45.35047	34.35749	41.95694	0	0	0	0	46.22955	1.56556	0	0	0	0	0	4.02509	2.67357	0.98862	0	0	0.04294	0.00041	18.26038	0	0	0	3.98186	8.51846	0	53.18932	7.3885	0	4.2072	0.61755	18.9905	0	8.98236	2.08473	9.56848	0	0.72483	0	0.47224	0	1.35912	1.62596	0	0	0	0	0.06314	0.04382	0	0.0029	0.16657	0	0	0.94814	1.56912	1.76289	1.24753	0	0	0	0	0	2.62414	1.54903	0.13856	4.43405	0.9111	2.69595	2.13956	1.56451	1.49875	0	0.09104	0	0	0	0	0	0	0	0.58554	2.59237	0	0	0.006	0	0	4.12067	7.16815	6.18134	0	3.14675	5.46378	3.24467	5.19897	0	0	0.25137	0	0	0	0	0	19.73108	6.59588	1.2139	2.17054	0.12453	0.49238	0	2.73275	25.90577	0.74542	0.00151	0.00049	0.01976	0	59.0293	0.09709	0	21.50381	3.21575	0	3.70041	1.31458	35.55204	0	0.04876	1.94492	3.7495	0	0.0088	0	0.01242	7.00939	1.07195	2.46733	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	8.66027	13.29786	11.381	0	1.95981	0	0.09346	0.21094	0.09823	1.67033	1.68483	4.01596	9.74741	32.2253	2.76947	0	0	4.80142	5.81279	13.42032	4.2201	5.49585	7.14073	7.07202	8.58469	11.89238	8.05879	12.53906	16.36946	6.02369	9.47619	11.05502	7.94079	10.82655	12.04124	7.16138	4.79032	7.07152	7.50317	1.5334	2.40857	51.78572	32.16421	35.96918	9.97514	4.85141	1.57685	3.13254	3.39093	2.57279	1.95818	6.47225	4.70416	5.80246	8.12346	18.28704	7.05648	5.85431	1.7673	5.2404	8.97857	2.294	10.0993	9.55777	5.01151	13.99558	5.74817	2.06467	2.7112	5.87712	4.48991	1.16524	5.51929	10.14593	2.52887	34.2166	25.18632	11.53635	12.29547	15.31662	3.06277	7.61204	7.99624	13.79112	1.10591	7.20891	6.42337	13.00616	8.63302	0	12.64767	0.60429	13.84139	7.89086	51.01361	18.20757	2.63685	1.31797	1.53563	0	5.11035	10.38457	4.78578	10.81146	3.07803	2.99314	4.27222	0	0.03529	1.58339	6.02192	4.39321	7.70554	3.8138	10.47916	9.80561	0	5.07185	0.02743	9.50278	4.26178	7.37966	11.98488	10.94163	11.84241	9.6657	8.74427	11.5772	9.23884	11.78804	4.72714	9.91062	10.33573	10.4578	9.00083	10.31204	10.42639	24.05249	26.90454	4.29282	2.25176	1.13445	8.77298	9.46134	4.18265	6.73249	7.40212	9.10327	4.06195	6.44158	3.17245	2.42877	10.97281	2.82179	0	0	3.15524	0.41491	21.82239	10.568	14.5121	10.17913	10.60422	12.12247	16.71471	13.77414	11.93249	9.38256	8.20695	3.71407	2.24107	8.9151	5.6437	18.28831	6.30981	5.94216	6.92475	9.01749	9.2159	13.77738	7.78626	8.09431	8.31899	3.58118	2.95148	8.18562	7.53969	1.85069	0	2.21212	5.40067	5.35813	2.95296	18.61255	7.75972	5.98855	12.98232	5.9577	0.00285	16.41858	5.29717	5.52715	3.43097	16.80364	7.86224	4.46484	11.04661	19.37843	6.61146	2.94151	14.99637	4.83556	29.54275	4.71091	18.85106	4.82952	6.55436	7.13253	6.76931
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01393	0	0	0	0.01215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01104	0	0	0	0	0	0	0	0	0	0	0.01167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01617	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname|f__Candidatus_Saccharibacteria_noname	0	0	0	0	0	0	0.00883	0.00923	0	0.00905	0	0	0	0	0.0229	0	0	0	0	0	0	0	0	0	0	0.05667	0.00404	0.01449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00635	0	0	0	0	0	0	0	0	0	0	0	0.00171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00179	0.00569	0	0	0.00496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00594	0	0	0	0	0.01253	0	0	0	0	0.00379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01235	0.00222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales|f__Chlorobiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae	0	0	0	0.00946	0	0	0	0	0	0	0	0	0	0	0.01275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03022	0	0	0	0	0	0	0	0	0	0	0	0	0.00609	0	0	0	0	0	0	0	0.02489	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00915	0	0	0	0	0	0	0	0.0093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00882	0	0	0	0	0	0	0	0	0.00598	0	0	0	0	0	0	0	0.00816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00679	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00592	0	0	0	0	0	0	0	0	0.00743	0.00792	0	0	0	0	0	0	0	0.00273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02798	0	0	0	0	0	0	0	0	0	0.02331	0	0	0	0	0	0	0	0	0	0	0	0.00278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02325	0	0	0	0	0	0	0.00602	0.00544	0.01289	0	0	0	0	0	0	0	0	0	0	0.06285	0	0	0	0	0	0	0	0	0	0	0.11893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013	0	0	0.01489	0	0.00649	0	0.02741	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01685	0	0	0	0	0	0	0
