order	ERR2213660	ERR2213661	ERR2213662	ERR2213663	ERR2213664	ERR2213665	ERR2213666	ERR2213667	ERR2213668	ERR2213669	ERR2213670	ERR2213671	ERR2213672	ERR2213673	ERR2213674	ERR2213675	ERR2213676	ERR2213677	ERR2213678	ERR2213679	ERR2213680	ERR2213681	ERR2213682	ERR2213683	ERR2213684	ERR2213685	ERR2213686	ERR2213687	ERR2213688	ERR2213689	ERR2213690	ERR2213691	ERR2213692	ERR2213693	ERR2213694	ERR2213695	ERR2213696	ERR2213697	ERR2213698	ERR2213699	ERR2213700	ERR2213701	ERR2213702	ERR2213703	ERR2213704	ERR2213705	ERR2213706	ERR2213707	ERR2213708	ERR2213709	ERR2213710	ERR2213711	ERR2213712	ERR2213713	ERR2213714	ERR2213715	ERR2213716	ERR2213717	ERR2213718	ERR2213719	ERR2213720	ERR2213721	ERR2213722	ERR2213723	ERR2213724	ERR2213725	ERR2213726	ERR2213727	ERR2213728	ERR2213729	ERR2213730	ERR2213731	ERR2213732	ERR2213733	ERR2213734	ERR2213735	ERR2213736	ERR2213737	ERR2213738	ERR2213739	ERR2213740	ERR2213741	ERR2213742	ERR2213743	ERR2235210	ERR2235211	ERR2235212	ERR2235213	ERR2235214	ERR2235215	ERR2235216	ERR2235217	ERR2235218	ERR2235219	ERR2235220	ERR2235221	ERR2235222	ERR2235223	ERR2235224	ERR2235225	ERR2235226	ERR2235227	ERR2235228	ERR2235229	ERR2235230	ERR2235231	ERR2235232	ERR2235233	ERR2235234	ERR2235235	ERR2235236	ERR2235237	ERR2235238	ERR2235239	ERR2235240	ERR2235241	ERR2235242	ERR2235243	ERR2235244	ERR2235245	ERR2235246	ERR2235247	ERR2235248	ERR2235249	ERR2235250	ERR2235251	ERR2235252	ERR2235253	ERR2235254	ERR2235255	ERR2235256	ERR2235257	ERR2235258	ERR2235259	ERR2235260	ERR2235261	ERR2235262	ERR2235263	ERR2235264	ERR2235265	ERR2235266	ERR2235267	ERR2235268	ERR2235269	ERR2235270	ERR2235271	ERR2235272	ERR2235273	ERR2235274	ERR2235275	ERR2235276	ERR2235277	ERR2235278	ERR2235279	ERR2235280	ERR2235281	ERR2235282	ERR2235283	ERR2235284	ERR2235285	ERR2235286	ERR2235287	ERR2235288	ERR2235289	ERR2235290	ERR2235291	ERR2235292	ERR2235293	ERR2235294	ERR2235295	ERR2235296	ERR2235297	ERR2235298	ERR2235299	ERR2235300	ERR2235301	ERR2235302	ERR2235303	ERR2235304	ERR2235305	ERR2235306	ERR2235307	ERR2235308	ERR2235309	ERR2235310	ERR2235311	ERR2235312	ERR2235313	ERR2235314	ERR2235315	ERR2235316	ERR2235317	ERR2235318	ERR2235319	ERR2235320	ERR2235321	ERR2235322	ERR2235323	ERR2235324	ERR2235325	ERR2235326	ERR2235327	ERR2235328	ERR2235329	ERR2235330	ERR2235331	ERR2235332	ERR2235333	ERR2235334	ERR2235335	ERR2235336	ERR2235337	ERR2235338	ERR2235339	ERR2235340	ERR2235341	ERR2235342	ERR2235343	ERR2235344
k__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales	0	0	0	0.00946	0	0	0	0	0	0	0	0	0	0	0.01275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03022	0	0	0	0	0	0	0	0	0	0	0	0	0.00609	0	0	0	0	0	0	0	0.02489	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00915	0	0	0	0	0	0	0	0.0093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00882	0	0	0	0	0	0	0	0	0.00598	0	0	0	0	0	0	0	0.00816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00679	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0.01094	0.00592	0	0	0	0	0	0	0	0	0.00743	0.00792	0	0	0	0	0	0	0	0.00273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00894	0	0	0.01301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02798	0	0	0	0	0	0	0	0	0	0.02331	0	0	0	0	0	0	0	0	0	0	0	0.00278	0.03376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02325	0	0	0	0	0	0	0.00602	0.00544	0.01289	0	0	0	0	0	0.00663	0	0	0	0	0.06285	0	0	0	0	0	0	0	0	0	0	0.11893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013	0	0	0.01489	0	0.00649	0	0.02741	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	1.22011	3.37284	3.57223	0.12434	1.44465	0.52157	0.21365	0.7507	0.2619	0.31137	0.12355	0.09466	0.22238	1.14946	6.42088	0.14089	0.06529	0.15382	0.0743	0	0.02912	0.01743	0.12194	0.59033	0.43049	0.29266	0.05145	0.13324	0.67946	0.41707	0.11565	0.00638	0.04886	0.16608	0.05832	0	0.22096	0.04237	0.33741	0.03342	0.81323	0.0319	0.01755	0.0521	0.1785	0	0.33157	0.04358	0.04136	0.07291	1.56099	6.34998	3.2516	0.58874	0.03279	0.02301	0.98013	0.11078	0.5386	0.06214	0.48674	0.08983	0.02365	0	4.15109	0.04117	0.45471	0.09726	0.76096	0.71734	0.19557	2.63254	1.03507	0.32398	0.41577	0.36828	0.32913	0.20158	0.01357	0.09085	0.10427	0.07877	0.02344	0.11133	0.14026	1.32631	0.12276	0.51024	0.0079	0.47709	0.00367	1.1563	0.00751	0	0.00902	7.59664	1.94879	0.67301	0.1241	0.33205	7.22117	0.13251	3.3233	9.75497	0.96231	0.09429	0.76121	2.4864	0.01232	1.99183	0.03643	0.10735	0.48917	1.28999	2.02703	0.01304	0.08036	0.27186	0.18993	0	0.4858	0.03317	0.28952	1.48619	0.83471	0.01156	0	0.00351	0.02076	0.32339	0.63672	0.48438	0.09651	0.06908	0.34974	0.21383	0.02673	0.03492	0.03749	0.00501	0.21537	0.59629	0.03503	0.30955	0.52758	0.10971	0.00993	0.42437	1.74017	0.00209	0.03436	2.31007	0.24381	0.09158	0.05606	0.02144	0.06725	1.14102	0.03544	0.10451	0.37179	0.12979	0.16178	0.211	0.24562	0.19965	2.18558	0.46537	0.51885	2.52262	0.30338	2.17247	0.69276	0.31769	2.43498	0.32461	0.20058	9.78709	0.07764	0.07698	0.14353	0.2959	0.46674	0.29146	0.353	1.00253	0.30331	0.14781	2.61506	0	2.65567	0.03156	1.84713	0.05526	1.78064	0.07355	0.642	0	0.665	0.44511	0.0022	3.83365	3.45028	0.30387	1.39196	0.07224	0.0636	0.06549	0.20343	0.64732	1.75622	0.33591	0	1.01342	2.35996	1.30606	0.50778	0.06525	0.12034
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	43.16432	27.94791	42.76867	37.94701	49.52364	22.44325	35.04547	52.80822	28.6883	36.24063	24.19725	37.41308	24.26012	18.87233	43.67465	37.94834	48.88147	11.83098	8.58434	31.88047	36.42306	46.27445	17.9101	30.91992	26.50031	30.80121	34.03985	39.23019	23.27811	60.52858	58.81003	23.55904	38.37835	5.80901	55.11	54.89979	27.89385	33.2615	34.29558	9.51442	64.38589	25.40841	23.53957	26.33195	18.86829	28.17519	39.88092	70.00462	70.26431	74.30198	47.22326	37.58991	20.064	55.24694	59.61414	36.82385	46.29308	48.21467	46.14048	56.52062	42.47656	15.89124	33.84528	58.02991	22.9425	29.07359	15.76538	32.06587	17.47533	29.20528	24.90185	34.48895	18.53922	56.85608	45.87898	26.39116	39.85165	13.57953	19.19174	18.11964	31.17972	20.69381	25.62875	10.64052	39.04636	5.47486	29.80152	37.55603	32.3151	0.0027	23.15601	43.46032	23.31267	49.24125	31.20997	41.49099	18.59856	50.20189	28.62746	24.41187	44.96522	60.26022	46.9169	24.84143	15.7074	19.45334	12.36204	25.0391	27.88014	16.0751	39.29619	53.55932	37.27685	38.99722	39.24409	19.12314	23.4188	24.75695	20.406	25.7956	27.22042	21.12574	40.86626	51.90798	49.49111	44.42337	35.32483	37.59485	44.25455	85.11196	39.90803	51.75936	42.83977	49.99896	41.99162	29.63658	28.18977	26.0375	21.69111	21.54776	31.20547	39.94756	32.77627	33.4248	43.92	64.83955	46.761	52.82823	36.08122	54.52392	73.1393	47.12309	28.50074	57.05953	29.13671	42.21135	28.41139	64.77229	56.99334	48.55077	47.27878	43.9485	41.93256	35.8138	50.32035	57.98832	52.35124	37.53318	33.45038	44.86243	65.38386	26.36654	15.45985	36.10557	18.21373	61.8597	33.68377	44.8847	49.30572	31.19164	42.0247	47.61613	33.57953	33.64624	13.68614	20.27958	21.05677	25.65951	18.61422	5.38042	44.83888	34.33048	27.6042	30.55009	37.77454	55.476	38.87492	11.48689	16.83204	28.93728	55.8997	50.2456	51.64096	38.55289	51.8319	34.58434	45.85586	19.03576	41.54209	25.76458	26.64865	41.38896	21.79073	12.33998	22.5759	56.70287	62.86197	49.1121	29.77942
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.30736	0.36835	0.20664	2.00829	1.42909	0.00142	0.6746	0.81679	4.86386	0.00713	0.14407	1.47628	0.01066	0.13366	1.78952	0.14835	0.3539	0.00977	0.01763	0.08471	0.03877	0.8804	0.52003	1.00066	0.60836	0.95936	0.37568	0.10878	0.04111	0.10737	0.08364	0.25681	0.60561	0.0086	0.09898	0.0521	0.19673	0.35097	0.9097	0.44434	0.262	3.01141	0.59339	1.44787	0.49672	0.92325	0.95566	0.06457	0.06552	0.15306	3.29653	3.10906	1.65747	1.42515	6.14981	0.38994	0.02562	0.07246	0.1073	1.00325	0.33439	0.88334	5.66205	0.46937	0.96027	4.44791	0.09246	0.00844	0.13087	0.14616	0.37247	0.18986	0.23848	0.56688	2.30756	0.09656	0.16233	0.03004	0.05799	0.05506	0.10216	0.13759	0.12272	0.04626	0.09138	2.15899	0.29642	0.06561	0.00071	0	2.33436	0.24736	0.3858	0.08509	2.95361	0.25581	0.32406	3.77575	0.86596	0.48455	0.15854	0.057	0.45248	0.09794	0.04489	0.50782	0.77196	1.38527	1.84692	0.08156	0.48796	0.44737	0.34912	3.50674	0.19104	0.10839	0.10118	0.24766	0.51673	0.21164	0.22112	0.20851	0.28674	0.40308	0.43032	0.6787	0.09674	0.10712	0.1652	1.3371	0.43303	0.07976	0.14839	0.02171	0.02358	0.04434	0.05241	0.28658	0.1791	0.05831	0.0566	0.08648	0.08025	0.20812	0.33794	0.03431	0.1382	0.19786	7.18784	1.02186	2.06183	0.10643	0.35396	0.3784	0.31901	0.35568	0.04812	0.03097	0.2271	0.48285	0.19276	0.05534	0.04388	0.04635	0.0488	0.05682	0.1044	0.37001	0.24172	0.188	0.15131	0.04539	0.05919	0.0384	0.32035	1.54004	7.68235	3.52501	2.32922	3.26966	0.10473	0.07105	0.10004	0.02334	0	0.12651	0.10799	0	1.21716	0.32659	0.14785	0.0843	0.06578	0.2216	0.02335	0.0467	1.17009	0.27483	4.289	0.07996	0.31518	0.01865	0.03723	0.06937	0.80372	0.75593	0.21554	0.19393	0.02099	0.5414	0.2683	0.35351	0.19316	0.37961	1.31708	0.35573	0.08162	0.18461	0.23622
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	1.29786	4.13865	4.2533	33.56199	0.90041	28.14889	8.50115	11.04085	2.69445	3.25366	7.08349	12.15093	0.30355	9.55854	8.45634	8.48045	5.87636	4.09348	5.04285	0.73694	0.09491	3.72916	0.06428	1.77961	2.29953	24.89516	20.43764	17.24423	0.6251	0.02797	0.01308	0.27867	1.61421	0.01175	0	0.00375	2.2257	0.28129	0.01136	0.66311	0.43491	2.29498	1.48193	3.41381	4.75987	16.80387	0.00506	3.97469	4.58934	3.21609	0.30043	0.37105	21.45495	6.28941	0	3.68763	1.57325	4.97969	5.6364	0.12287	1.02376	0.40202	0	1.58645	2.73448	0.86587	6.63871	0.02154	1.77776	2.83224	2.07298	3.78279	9.32584	0.35409	0.11022	0.19177	0.04119	2.3405	1.00789	0.20385	2.6426	6.65539	4.24079	7.75525	4.01281	7.54574	3.4343	4.05862	7.31557	0	1.0666	2.94857	5.89398	0.00388	0.02578	2.04009	3.98308	4.55644	4.46169	0	2.5461	0.00683	7.00085	12.83953	8.19766	4.97807	5.23741	8.96873	2.64549	1.1408	4.69917	0.90815	6.75868	5.21044	1.36866	3.20309	3.90172	0	3.43661	0.01089	0.54472	0.00654	3.49748	0.74194	0.88201	0.96365	0.62007	1.20283	1.70607	0.31113	8.09408	0.03386	0	0.23702	3.48971	3.08208	2.31617	4.5725	4.42882	6.21161	6.81436	8.11162	0.23095	0.3319	6.08739	2.15423	1.51355	2.40665	1.75642	0.39606	0.22327	2.49911	0.59825	3.8636	5.94984	2.80432	0.00559	0.46126	0.01064	0.01745	0.07105	6.87796	1.83481	1.23103	4.71341	4.56814	4.72779	0.40602	1.28305	1.33824	0.14355	3.06367	2.51845	1.5746	2.26892	5.44055	6.74074	0.49907	1.76774	1.46976	1.77672	2.78303	2.6821	7.84453	9.46627	1.96626	2.54771	2.11599	13.79682	0	0.19287	7.03145	4.73744	3.89425	8.90854	0	0.03425	0.90209	0.77536	1.18896	0.09788	0.65724	4.71686	0.38845	1.36149	4.08709	0.39336	2.3781	3.75534	2.07152	0.01988	0.03576	0.02171	1.18701	3.05204	1.28518	1.67681	0.16664	1.71906
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	0	0	0	0.22309	0	0	0	0.02439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.915	0	0	0.00056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24498	0	0	0	0	0	0.02655	0	0.03641	0	0	0	0	0	0	0	0	0	0	0	0	0.00213	0.64205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00055	0	0	0	0	0.02212	0	0.71268	3.96786	0	0	0	0	0	0	0	0	0	0.04509	0	0	0	0	0	0	0	0	0	0.00521	0	0	0	0	0	0	0	0	0	0.0013	0.65086	0.00065	0	0	0	0	0	0	0	0	0	0	0	0	0.03503	0	0	0	0	0.01297	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.01082	0.02001	0.01052	0	0.08664	0	1.20927	1.16259	1.98026	0.63493	0.94317	0.2103	2.89802	0.08247	0.04454	0	0	3.17816	3.61523	0.67724	0.76794	0.35926	1.04488	1.3136	1.22429	0.279	0.3251	0.24157	0.82328	0.3657	1.0811	0	0	0	0.25168	0.38744	4.63452	4.41718	4.84487	0	0.66983	0	0	0	0.06453	0.89356	0.23087	0.6937	0.9449	0.63434	0.11884	0.97688	0.58898	0.40274	0.6835	0.62213	0	0.02834	1.25891	0.80471	2.09066	3.95446	0.17157	0.11438	0.03783	0.19123	0.197	0.81313	0.2161	0.68441	0.59536	0.17959	0.09642	0.0971	0.03562	1.22772	0.17541	3.43118	2.82685	3.46971	0.1488	0.4542	0.48065	0.39694	1.76545	4.32485	0.62434	5.84268	0.31033	0	1.55891	0.02109	1.04343	0.14917	1.69763	0	0.17225	0.04324	0.18278	0.39042	0.95101	0.22259	0.51206	0.24642	0	0.87681	0.41087	0	0.00873	1.07791	0.0936	2.70695	0.29434	2.34734	0.01096	0.05172	1.3708	0	0.78147	0.09491	1.65247	0.98797	1.02725	0.61996	0.56224	0.0733	0.16455	0.45768	2.8274	0.04613	1.00697	1.22533	0.94386	1.67448	0.91662	1.63125	1.14444	0.04474	0.17334	0.48971	0.24462	0.39293	0.89135	0.56114	0.62516	0.63486	0.15228	0.51251	0.25934	0.10598	0.14207	0.38113	0.00229	1.05984	0	0	1.58218	1.34747	0.49688	1.97209	1.11194	0.54467	0.45815	0.30925	0.86224	0.73104	0.82101	0	0.00696	0.28065	0.47157	1.86709	2.78201	2.90876	1.51179	1.67172	0.93746	0.11907	0.82	0.59413	0.09593	0.15323	0.10294	2.20781	3.37096	0.07985	0.0627	0.6174	0	0.40601	3.50629	3.26788	0.01181	1.67162	0.40401	0.0072	0.79597	1.72673	0	0.76345	0.01086	0.04194	2.06106	0.27781	0.49015	0.01361	1.38118	0	0.44683	1.28399	0.00753	0.70116	0.0172	1.20084	1.07245	1.36183	0.65089	0.74254	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Gallionellales	0.02161	0	0.01977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00673	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.998	0.28182	0.13435	0	0.36529	0	0.59058	0.83846	0.73041	0.22922	1.3647	0.61368	0.39508	0.42141	1.03936	0	0	0	0	0.88087	1.561	0.43764	0.97135	0.9414	1.1856	0	0	0	0.66624	0.2897	0.30979	0	0.66151	0.00305	0.61387	0.64252	0.90745	0.90399	1.62834	0.0708	0.79687	0	0.53007	0.97118	0.83265	0	0.26751	0.02984	0.03736	0.03261	0.50877	0.59982	0.6903	0.69166	1.46956	1.24891	1.37437	0.65799	1.00833	0.07552	0.57124	0.84986	0.41401	1.4946	1.78464	0.5354	0.799	0	0.43619	0.56091	0.53232	0.53711	0.45959	1.58531	0.93473	0.4218	0.75894	0.50881	0.6048	0.34019	0.17668	1.42615	1.47709	1.09429	0.07186	0	0	0.96009	0.75506	0	0.46598	0	1.07177	0.74272	0.28257	0	0.74305	0.58151	0.75378	0	0	0	0.84102	0.40971	0.00335	0.32039	0.36192	0	0.43071	0.1528	0.55577	0.88756	0.19742	1.07579	0.56377	0	0	0.09165	0.96977	0.83287	0.39318	0.31195	1.20031	0.56926	1.04904	0.03634	0.0715	1.20606	0.27882	0	0.24402	0	0	0.63245	0.36732	0.51726	0.84167	0.42738	0.68025	0	0	0	0.20398	0.23094	0.48502	0.44003	0.87178	0.52555	0.50294	1.15935	1.44894	0.97853	1.37189	0.76446	0	0	1.48429	0.40214	0.39029	0.80995	0.67738	0.43264	0.36045	0.41377	0.74413	1.18919	0.59875	1.1936	1.04146	0.42563	0.19786	0.95638	1.11653	0.98344	1.49006	0.04189	0.39547	0.57752	0.40337	0.78429	1.0292	0.9849	1.45155	0.73463	0.81722	0.74194	0.16762	0.38305	0	0.08515	1.20762	0.72385	0.18678	0.18492	0.35334	0.55697	0.41188	0.42598	0	0.54402	0.85158	0.77334	0.07751	0.6792	0.50926	0.27038	0.67396	0.0531	0.09773	1.27802	1.29263	1.22391	0.50052	2.19302	1.50715	0.10091	0.30583	0.52024	2.48297
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	0	0.00912	0	2.55083	0	0	0	0	0	0	0	0	0	0	0	0	0.00098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00843	0	0	0	0	0	0	0	0	0	0	0.01797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01727	0	0	0	0.04006	0	0	0	0	0	0	0.00146	0.0045	0.20769	0	0	0.02556	1.36372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00653	0	0.03209	0	0	0	0	0	0	0.15613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00628	0	0	0	0	0	0	0	0	0	0	0.1269	0	0	0	0	0	0	0	0	0	0.13669	0	0	0	0.02053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05607	0	0	0	0	0	0	0	0	0	0	0	0.32897	0	0.88914	0.50373	0.5082	0	0	0	0.38888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
