"Study"	"Rtype"	"Type"	"thresh"	"SN"	"SP"	"PPV"	"NPV"	"ACC"	"F1"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"0.02"	91.6666666666667	2.27272727272727	"33.8461538461538"	"33.3333333333333"	"33.8235294117647"	"49.438202247191"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"0.03"	91.6666666666667	4.54545454545455	"34.375"	"50"	"35.2941176470588"	"50"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"0.05"	91.6666666666667	6.81818181818182	"34.9206349206349"	"60"	"36.7647058823529"	"50.5747126436782"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"0.06"	91.6666666666667	9.09090909090909	"35.4838709677419"	"66.6666666666667"	"38.2352941176471"	"51.1627906976744"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"0.09"	91.6666666666667	11.3636363636364	"36.0655737704918"	"71.4285714285714"	"39.7058823529412"	"51.7647058823529"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"0.15"	91.6666666666667	13.6363636363636	"36.6666666666667"	"75"	"41.1764705882353"	"52.3809523809524"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"0.17"	87.5	13.6363636363636	"35.5932203389831"	"66.6666666666667"	"39.7058823529412"	"50.6024096385542"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"0.3"	83.3333333333333	13.6363636363636	"34.4827586206897"	"60"	"38.2352941176471"	"48.7804878048781"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"0.35"	79.1666666666667	13.6363636363636	"33.3333333333333"	"54.5454545454545"	"36.7647058823529"	"46.9135802469136"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"0.36"	79.1666666666667	15.9090909090909	"33.9285714285714"	"58.3333333333333"	"38.2352941176471"	"47.5"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"0.56"	79.1666666666667	18.1818181818182	"34.5454545454545"	"61.5384615384615"	"39.7058823529412"	"48.1012658227848"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"0.9"	79.1666666666667	20.4545454545455	"35.1851851851852"	"64.2857142857143"	"41.1764705882353"	"48.7179487179487"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"1.06"	79.1666666666667	22.7272727272727	"35.8490566037736"	"66.6666666666667"	"42.6470588235294"	"49.3506493506494"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"1.31"	79.1666666666667	25	"36.5384615384615"	"68.75"	"44.1176470588235"	"50"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"1.389722055"	79.1666666666667	27.2727272727273	"37.2549019607843"	"70.5882352941177"	"45.5882352941176"	"50.6666666666667"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"1.42"	75	27.2727272727273	"36"	"66.6666666666667"	"44.1176470588235"	"48.6486486486487"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"1.49"	70.8333333333333	27.2727272727273	"34.6938775510204"	"63.1578947368421"	"42.6470588235294"	"46.5753424657534"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"1.52"	70.8333333333333	29.5454545454545	"35.4166666666667"	"65"	"44.1176470588235"	"47.2222222222222"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"1.7"	66.6666666666667	29.5454545454545	"34.0425531914894"	"61.9047619047619"	"42.6470588235294"	"45.0704225352113"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"1.91"	66.6666666666667	31.8181818181818	"34.7826086956522"	"63.6363636363636"	"44.1176470588235"	"45.7142857142857"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"2.44"	62.5	31.8181818181818	"33.3333333333333"	"60.8695652173913"	"42.6470588235294"	"43.4782608695652"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"2.62"	62.5	34.0909090909091	"34.0909090909091"	"62.5"	"44.1176470588235"	"44.1176470588235"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"2.67"	58.3333333333333	34.0909090909091	"32.5581395348837"	"60"	"42.6470588235294"	"41.7910447761194"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"2.99"	58.3333333333333	36.3636363636364	"33.3333333333333"	"61.5384615384615"	"44.1176470588235"	"42.4242424242424"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"3.1"	58.3333333333333	38.6363636363636	"34.1463414634146"	"62.962962962963"	"45.5882352941176"	"43.0769230769231"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"3.38"	54.1666666666667	40.9090909090909	"33.3333333333333"	"62.0689655172414"	"45.5882352941176"	"41.2698412698413"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"4.05"	50	40.9090909090909	"31.5789473684211"	"60"	"44.1176470588235"	"38.7096774193548"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"4.37"	45.8333333333333	40.9090909090909	"29.7297297297297"	"58.0645161290323"	"42.6470588235294"	"36.0655737704918"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"4.57"	41.6666666666667	40.9090909090909	"27.7777777777778"	"56.25"	"41.1764705882353"	"33.3333333333333"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"4.92"	37.5	40.9090909090909	"25.7142857142857"	"54.5454545454545"	"39.7058823529412"	"30.5084745762712"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"5.04"	33.3333333333333	40.9090909090909	"23.5294117647059"	"52.9411764705882"	"38.2352941176471"	"27.5862068965517"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"5.12"	29.1666666666667	40.9090909090909	"21.2121212121212"	"51.4285714285714"	"36.7647058823529"	"24.5614035087719"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"5.22"	25	40.9090909090909	"18.75"	"50"	"35.2941176470588"	"21.4285714285714"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"5.26"	25	40.9090909090909	"18.75"	"50"	"35.2941176470588"	"21.4285714285714"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"5.28"	25	43.1818181818182	"19.3548387096774"	"51.3513513513514"	"36.7647058823529"	"21.8181818181818"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"5.49"	25	45.4545454545455	"20"	"52.6315789473684"	"38.2352941176471"	"22.2222222222222"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"6.04"	25	47.7272727272727	"20.6896551724138"	"53.8461538461538"	"39.7058823529412"	"22.6415094339623"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"6.63"	25	50	"21.4285714285714"	"55"	"41.1764705882353"	"23.0769230769231"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"6.96"	25	52.2727272727273	"22.2222222222222"	"56.0975609756098"	"42.6470588235294"	"23.5294117647059"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"7.12"	25	54.5454545454545	"23.0769230769231"	"57.1428571428571"	"44.1176470588235"	"24"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"7.22"	25	56.8181818181818	"24"	"58.1395348837209"	"45.5882352941176"	"24.4897959183673"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"7.34"	25	59.0909090909091	"25"	"59.0909090909091"	"47.0588235294118"	"25"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"7.75"	20.8333333333333	59.0909090909091	"21.7391304347826"	"57.7777777777778"	"45.5882352941176"	"21.2765957446808"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"7.91"	20.8333333333333	61.3636363636364	"22.7272727272727"	"58.695652173913"	"47.0588235294118"	"21.7391304347826"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"8.12"	20.8333333333333	63.6363636363636	"23.8095238095238"	"59.5744680851064"	"48.5294117647059"	"22.2222222222222"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"8.19"	20.8333333333333	65.9090909090909	"25"	"60.4166666666667"	"50"	"22.7272727272727"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"8.24"	20.8333333333333	68.1818181818182	"26.3157894736842"	"61.2244897959184"	"51.4705882352941"	"23.2558139534884"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"8.71"	20.8333333333333	70.4545454545455	"27.7777777777778"	"62"	"52.9411764705882"	"23.8095238095238"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"8.88"	16.6666666666667	70.4545454545455	"23.5294117647059"	"60.7843137254902"	"51.4705882352941"	"19.5121951219512"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"8.95"	12.5	70.4545454545455	"18.75"	"59.6153846153846"	"50"	"15"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"9.01"	12.5	72.7272727272727	"20"	"60.377358490566"	"51.4705882352941"	"15.3846153846154"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"9.44"	12.5	75	"21.4285714285714"	"61.1111111111111"	"52.9411764705882"	"15.7894736842105"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"10.39"	12.5	77.2727272727273	"23.0769230769231"	"61.8181818181818"	"54.4117647058824"	"16.2162162162162"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"11.22"	12.5	79.5454545454545	"25"	"62.5"	"55.8823529411765"	"16.6666666666667"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"13.11"	12.5	81.8181818181818	"27.2727272727273"	"63.1578947368421"	"57.3529411764706"	"17.1428571428571"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"14.13"	12.5	84.0909090909091	"30"	"63.7931034482759"	"58.8235294117647"	"17.6470588235294"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"16.56"	12.5	86.3636363636364	"33.3333333333333"	"64.406779661017"	"60.2941176470588"	"18.1818181818182"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"16.74"	12.5	88.6363636363636	"37.5"	"65"	"61.7647058823529"	"18.75"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"16.99"	8.33333333333333	88.6363636363636	"28.5714285714286"	"63.9344262295082"	"60.2941176470588"	"12.9032258064516"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"20.69"	4.16666666666667	88.6363636363636	"16.6666666666667"	"62.9032258064516"	"58.8235294117647"	"6.66666666666667"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"21.08"	4.16666666666667	90.9090909090909	"20"	"63.4920634920635"	"60.2941176470588"	"6.89655172413793"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"23.22"	4.16666666666667	93.1818181818182	"25"	"64.0625"	"61.7647058823529"	"7.14285714285714"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"23.46"	4.16666666666667	95.4545454545455	"33.3333333333333"	"64.6153846153846"	"63.2352941176471"	"7.40740740740741"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"28.97"	0	95.4545454545455	"0"	"63.6363636363636"	"61.7647058823529"	"0"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"29.47"	0	97.7272727272727	"0"	"64.1791044776119"	"63.2352941176471"	"0"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"33.95"	0	97.7272727272727	"0"	"64.1791044776119"	"63.2352941176471"	"0"
"Richard NSCLC"	"Response2"	"re-analysis-r"	"34.95"	0	100	"NaN"	"64.7058823529412"	"64.7058823529412"	"NaN"
"Zheng HCC"	"Response2"	"re-analysis-r"	"-0.994089707"	100	0	"37.5"	"NaN"	"37.5"	"54.5454545454546"
"Zheng HCC"	"Response2"	"re-analysis-r"	"0.005910293"	100	0	"37.5"	"NaN"	"37.5"	"54.5454545454546"
"Zheng HCC"	"Response2"	"re-analysis-r"	"0.59824012"	100	20	"42.8571428571429"	"100"	"50"	"60"
"Zheng HCC"	"Response2"	"re-analysis-r"	"0.964469509"	100	40	"50"	"100"	"62.5"	"66.6666666666667"
"Zheng HCC"	"Response2"	"re-analysis-r"	"4.064749598"	100	60	"60"	"100"	"75"	"75"
"Zheng HCC"	"Response2"	"re-analysis-r"	"4.392446428"	66.6666666666667	60	"50"	"75"	"62.5"	"57.1428571428571"
"Zheng HCC"	"Response2"	"re-analysis-r"	"4.535161063"	33.3333333333333	60	"33.3333333333333"	"60"	"50"	"33.3333333333333"
"Zheng HCC"	"Response2"	"re-analysis-r"	"6.30847941"	33.3333333333333	80	"50"	"66.6666666666667"	"62.5"	"40"
"Zheng HCC"	"Response2"	"re-analysis-r"	"8.921949042"	0	80	"0"	"57.1428571428571"	"50"	"0"
"Zheng HCC"	"Response2"	"re-analysis-r"	"9.921949042"	0	100	"NaN"	"62.5"	"62.5"	"NaN"
"Peters Melanoma"	"Response2"	"re-analysis-nr"	"-6.962"	100	0	"80"	"NaN"	"80"	"88.8888888888889"
"Peters Melanoma"	"Response2"	"re-analysis-nr"	"-5.962"	100	0	"80"	"NaN"	"80"	"88.8888888888889"
"Peters Melanoma"	"Response2"	"re-analysis-nr"	"-5.083"	93.75	0	"78.9473684210526"	"0"	"75"	"85.7142857142857"
"Peters Melanoma"	"Response2"	"re-analysis-nr"	"-3.769"	93.75	25	"83.3333333333333"	"50"	"80"	"88.2352941176471"
"Peters Melanoma"	"Response2"	"re-analysis-nr"	"-2.982"	93.75	50	"88.2352941176471"	"66.6666666666667"	"85"	"90.9090909090909"
"Peters Melanoma"	"Response2"	"re-analysis-nr"	"-2.777"	87.5	50	"87.5"	"50"	"80"	"87.5"
"Peters Melanoma"	"Response2"	"re-analysis-nr"	"-2.542"	81.25	50	"86.6666666666667"	"40"	"75"	"83.8709677419355"
"Peters Melanoma"	"Response2"	"re-analysis-nr"	"-2.488"	75	50	"85.7142857142857"	"33.3333333333333"	"70"	"80"
"Peters Melanoma"	"Response2"	"re-analysis-nr"	"-1.839"	68.75	50	"84.6153846153846"	"28.5714285714286"	"65"	"75.8620689655172"
"Peters Melanoma"	"Response2"	"re-analysis-nr"	"-1.737"	62.5	50	"83.3333333333333"	"25"	"60"	"71.4285714285714"
"Peters Melanoma"	"Response2"	"re-analysis-nr"	"-1.578"	56.25	50	"81.8181818181818"	"22.2222222222222"	"55"	"66.6666666666667"
"Peters Melanoma"	"Response2"	"re-analysis-nr"	"-1.526"	50	50	"80"	"20"	"50"	"61.5384615384615"
"Peters Melanoma"	"Response2"	"re-analysis-nr"	"-1.401"	43.75	50	"77.7777777777778"	"18.1818181818182"	"45"	"56"
"Peters Melanoma"	"Response2"	"re-analysis-nr"	"-1.25"	43.75	75	"87.5"	"25"	"50"	"58.3333333333333"
"Peters Melanoma"	"Response2"	"re-analysis-nr"	"-1.208"	37.5	75	"85.7142857142857"	"23.0769230769231"	"45"	"52.1739130434783"
"Peters Melanoma"	"Response2"	"re-analysis-nr"	"-0.952"	37.5	100	"100"	"28.5714285714286"	"50"	"54.5454545454546"
"Peters Melanoma"	"Response2"	"re-analysis-nr"	"-0.78"	31.25	100	"100"	"26.6666666666667"	"45"	"47.6190476190476"
"Peters Melanoma"	"Response2"	"re-analysis-nr"	"-0.705"	25	100	"100"	"25"	"40"	"40"
"Peters Melanoma"	"Response2"	"re-analysis-nr"	"-0.621"	18.75	100	"100"	"23.5294117647059"	"35"	"31.5789473684211"
"Peters Melanoma"	"Response2"	"re-analysis-nr"	"-0.529"	12.5	100	"100"	"22.2222222222222"	"30"	"22.2222222222222"
"Peters Melanoma"	"Response2"	"re-analysis-nr"	"-0.49"	6.25	100	"100"	"21.0526315789474"	"25"	"11.7647058823529"
"Peters Melanoma"	"Response2"	"re-analysis-nr"	"0.51"	0	100	"NaN"	"20"	"20"	"NaN"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-51.629"	100	0	"35.2941176470588"	"NaN"	"35.2941176470588"	"52.1739130434783"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-50.629"	100	0	"35.2941176470588"	"NaN"	"35.2941176470588"	"52.1739130434783"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-32.081"	95.8333333333333	0	"34.3283582089552"	"0"	"33.8235294117647"	"50.5494505494505"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-22.471"	95.8333333333333	2.27272727272727	"34.8484848484849"	"50"	"35.2941176470588"	"51.1111111111111"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-20.377"	95.8333333333333	4.54545454545455	"35.3846153846154"	"66.6666666666667"	"36.7647058823529"	"51.685393258427"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-16.46"	95.8333333333333	6.81818181818182	"35.9375"	"75"	"38.2352941176471"	"52.2727272727273"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-15.925"	91.6666666666667	6.81818181818182	"34.9206349206349"	"60"	"36.7647058823529"	"50.5747126436782"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-14.921"	91.6666666666667	9.09090909090909	"35.4838709677419"	"66.6666666666667"	"38.2352941176471"	"51.1627906976744"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-13.026"	91.6666666666667	11.3636363636364	"36.0655737704918"	"71.4285714285714"	"39.7058823529412"	"51.7647058823529"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-13.001"	91.6666666666667	13.6363636363636	"36.6666666666667"	"75"	"41.1764705882353"	"52.3809523809524"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-10.839"	91.6666666666667	15.9090909090909	"37.2881355932203"	"77.7777777777778"	"42.6470588235294"	"53.0120481927711"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-9.911"	91.6666666666667	18.1818181818182	"37.9310344827586"	"80"	"44.1176470588235"	"53.6585365853658"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-9.52"	91.6666666666667	20.4545454545455	"38.5964912280702"	"81.8181818181818"	"45.5882352941176"	"54.320987654321"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-8.832"	91.6666666666667	22.7272727272727	"39.2857142857143"	"83.3333333333333"	"47.0588235294118"	"55"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-8.073"	87.5	22.7272727272727	"38.1818181818182"	"76.9230769230769"	"45.5882352941176"	"53.1645569620253"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-7.801"	87.5	25	"38.8888888888889"	"78.5714285714286"	"47.0588235294118"	"53.8461538461538"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-7.578"	87.5	27.2727272727273	"39.622641509434"	"80"	"48.5294117647059"	"54.5454545454545"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-7.053"	87.5	29.5454545454545	"40.3846153846154"	"81.25"	"50"	"55.2631578947368"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-6.337"	87.5	29.5454545454545	"40.3846153846154"	"81.25"	"50"	"55.2631578947368"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-6.111"	87.5	31.8181818181818	"41.1764705882353"	"82.3529411764706"	"51.4705882352941"	"56"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-5.772"	87.5	34.0909090909091	"42"	"83.3333333333333"	"52.9411764705882"	"56.7567567567568"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-5.552"	87.5	36.3636363636364	"42.8571428571429"	"84.2105263157895"	"54.4117647058824"	"57.5342465753425"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-5.372"	87.5	38.6363636363636	"43.75"	"85"	"55.8823529411765"	"58.3333333333333"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-4.93"	83.3333333333333	38.6363636363636	"42.5531914893617"	"80.9523809523809"	"54.4117647058824"	"56.3380281690141"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-4.929"	79.1666666666667	38.6363636363636	"41.304347826087"	"77.2727272727273"	"52.9411764705882"	"54.2857142857143"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-4.916"	79.1666666666667	40.9090909090909	"42.2222222222222"	"78.2608695652174"	"54.4117647058824"	"55.0724637681159"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-4.542"	79.1666666666667	40.9090909090909	"42.2222222222222"	"78.2608695652174"	"54.4117647058824"	"55.0724637681159"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-4.448"	75	40.9090909090909	"40.9090909090909"	"75"	"52.9411764705882"	"52.9411764705882"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-4.431"	70.8333333333333	40.9090909090909	"39.5348837209302"	"72"	"51.4705882352941"	"50.7462686567164"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-4.114"	66.6666666666667	40.9090909090909	"38.0952380952381"	"69.2307692307692"	"50"	"48.4848484848485"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-3.919"	66.6666666666667	43.1818181818182	"39.0243902439024"	"70.3703703703704"	"51.4705882352941"	"49.2307692307692"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-3.906"	66.6666666666667	45.4545454545455	"40"	"71.4285714285714"	"52.9411764705882"	"50"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-3.619"	66.6666666666667	47.7272727272727	"41.025641025641"	"72.4137931034483"	"54.4117647058824"	"50.7936507936508"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-3.354"	66.6666666666667	50	"42.1052631578947"	"73.3333333333333"	"55.8823529411765"	"51.6129032258064"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-3.008"	62.5	50	"40.5405405405405"	"70.9677419354839"	"54.4117647058824"	"49.1803278688525"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-2.518"	62.5	52.2727272727273	"41.6666666666667"	"71.875"	"55.8823529411765"	"50"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-2.496"	62.5	54.5454545454545	"42.8571428571429"	"72.7272727272727"	"57.3529411764706"	"50.8474576271186"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-2.492"	62.5	56.8181818181818	"44.1176470588235"	"73.5294117647059"	"58.8235294117647"	"51.7241379310345"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-2.421"	62.5	59.0909090909091	"45.4545454545455"	"74.2857142857143"	"60.2941176470588"	"52.6315789473684"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-2.375"	62.5	61.3636363636364	"46.875"	"75"	"61.7647058823529"	"53.5714285714286"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-2.358"	58.3333333333333	61.3636363636364	"45.1612903225806"	"72.972972972973"	"60.2941176470588"	"50.9090909090909"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-2.27"	54.1666666666667	61.3636363636364	"43.3333333333333"	"71.0526315789474"	"58.8235294117647"	"48.1481481481482"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-2.261"	50	61.3636363636364	"41.3793103448276"	"69.2307692307692"	"57.3529411764706"	"45.2830188679245"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-2.128"	45.8333333333333	61.3636363636364	"39.2857142857143"	"67.5"	"55.8823529411765"	"42.3076923076923"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-1.805"	41.6666666666667	61.3636363636364	"37.037037037037"	"65.8536585365854"	"54.4117647058824"	"39.2156862745098"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-1.78"	37.5	61.3636363636364	"34.6153846153846"	"64.2857142857143"	"52.9411764705882"	"36"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-1.773"	33.3333333333333	61.3636363636364	"32"	"62.7906976744186"	"51.4705882352941"	"32.6530612244898"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-1.729"	33.3333333333333	63.6363636363636	"33.3333333333333"	"63.6363636363636"	"52.9411764705882"	"33.3333333333333"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-1.696"	33.3333333333333	65.9090909090909	"34.7826086956522"	"64.4444444444444"	"54.4117647058824"	"34.0425531914894"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-1.6676664665"	29.1666666666667	65.9090909090909	"31.8181818181818"	"63.0434782608696"	"52.9411764705882"	"30.4347826086957"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-1.561"	25	65.9090909090909	"28.5714285714286"	"61.7021276595745"	"51.4705882352941"	"26.6666666666667"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-1.343"	25	68.1818181818182	"30"	"62.5"	"52.9411764705882"	"27.2727272727273"
"Richard NSCLC"	"Response2"	"re-analysis-nr"	"-1.308"	20.8333333333333	68.1818181818182	"26.3157894736842"	"61.2244897959184"	"51.4705882352941"	"23.2558139534884"
