Feature	Inclusion	Comparator	Fixed SMD	Rand SMD	Fixed P	Rand P	I2	Tau	Chaput	Frankel	Gopalakrishnan	Matson	Routy NSCLC	Routy RCC
Environmental.Information.Processing.Signal.Transduction.MAPK.signaling.pat-19	UseforMeta	Response	-0.1905	-0.1905	0.1124	0.1124	0.0%	0	100	100	100	100	100	100
Environmental.Information.Processing.Signal.Transduction.Notch.signaling.pa-20	UseforMeta	Response	0.0276	0.0276	0.8176	0.8176	0.0%	0	30.7692307692308	7.69230769230769	0	0	6.89655172413793	13.6363636363636
Environmental.Information.Processing.Signal.Transduction.Phosphatidylinosit-21	UseforMeta	Response	-0.1465	-0.1487	0.2229	0.2352	6.5%	0.0062	100	100	100	100	100	100
Environmental.Information.Processing.Signal.Transduction.Two.component.syst-22	UseforMeta	Response	0.1448	0.1621	0.2295	0.3044	38.1%	0.0560	100	100	100	100	100	100
Environmental.Information.Processing.Signal.Transduction.Wnt.signaling.path-23	UseforMeta	Response	0.0276	0.0276	0.8176	0.8176	0.0%	0	30.7692307692308	7.69230769230769	0	0	6.89655172413793	13.6363636363636
Environmental.Information.Processing.Signal.Transduction.mTOR.signaling.pat-24	UseforMeta	Response	0.2878	0.2878	0.0167	0.0167	0.0%	0	0	35.8974358974359	13.953488372093	21.4285714285714	14.9425287356322	21.2121212121212
Environmental.Information.Processing.Signaling.Molecules.and.Interaction.Ba-25	UseforMeta	Response	-0.1071	-0.1164	0.3730	0.3915	18.9%	0.0209	100	100	100	100	100	100
Environmental.Information.Processing.Signaling.Molecules.and.Interaction.Ce-26	UseforMeta	Response	-0.2150	-0.2196	0.0740	0.0891	11.1%	0.0113	100	100	100	100	100	100
Environmental.Information.Processing.Signaling.Molecules.and.Interaction.G.-27	UseforMeta	Response	0.0267	0.0267	0.8234	0.8234	0.0%	0	11.5384615384615	28.2051282051282	16.2790697674419	38.0952380952381	14.9425287356322	7.57575757575758
Environmental.Information.Processing.Signaling.Molecules.and.Interaction.Io-28	UseforMeta	Response	-0.0589	-0.0527	0.6242	0.7232	31.0%	0.0407	100	100	100	100	100	100
Genetic.Information.Processing.Folding.Sorting.and.Degradation.Chaperones.a-29	UseforMeta	Response	-0.1074	-0.1241	0.3723	0.4366	39.5%	0.0592	100	100	100	100	100	100
Genetic.Information.Processing.Folding.Sorting.and.Degradation.Proteasome-30	UseforMeta	Response	0.0408	0.0408	0.7334	0.7334	0.0%	0	100	100	100	100	100	100
Genetic.Information.Processing.Folding.Sorting.and.Degradation.Protein.expo-31	UseforMeta	Response	-0.0495	-0.0495	0.6797	0.6797	0.0%	0	100	100	100	100	100	100
Genetic.Information.Processing.Folding.Sorting.and.Degradation.Protein.proc-32	UseforMeta	Response	-0.0849	-0.0849	0.4780	0.4780	0.0%	0	100	100	100	100	100	100
Genetic.Information.Processing.Folding.Sorting.and.Degradation.RNA.degradat-33	UseforMeta	Response	-0.1146	-0.1146	0.3393	0.3393	0.0%	0	100	100	100	100	100	100
Genetic.Information.Processing.Folding.Sorting.and.Degradation.Sulfur.relay-34	UseforMeta	Response	0.1639	0.1752	0.1744	0.3220	50.2%	0.0919	100	100	100	100	100	100
Genetic.Information.Processing.Folding.Sorting.and.Degradation.Ubiquitin.sy-35	UseforMeta	Response	-0.1318	-0.1318	0.2717	0.2717	0.0%	0	100	100	100	100	100	100
Genetic.Information.Processing.Replication.and.Repair.Base.excision.repair-36	UseforMeta	Response	0.0458	0.0458	0.7019	0.7019	0.0%	0	100	100	100	100	100	100
Genetic.Information.Processing.Replication.and.Repair.Chromosome-37	UseforMeta	Response	0.0418	0.0198	0.7282	0.9036	42.6%	0.0672	100	100	100	100	100	100
Genetic.Information.Processing.Replication.and.Repair.DNA.repair.and.recomb-38	UseforMeta	Response	0.0405	0.0405	0.7358	0.7358	0.0%	0	100	100	100	100	100	100
Genetic.Information.Processing.Replication.and.Repair.DNA.replication-39	UseforMeta	Response	-0.0495	-0.0495	0.6799	0.6799	0.0%	0	100	100	100	100	100	100
Genetic.Information.Processing.Replication.and.Repair.DNA.replication.prote-40	UseforMeta	Response	-0.0525	-0.0582	0.6624	0.6849	26.3%	0.0322	100	100	100	100	100	100
Genetic.Information.Processing.Replication.and.Repair.Homologous.recombinat-41	UseforMeta	Response	0.0063	0.0014	0.9582	0.9916	15.2%	0.0161	100	100	100	100	100	100
Genetic.Information.Processing.Replication.and.Repair.Mismatch.repair-42	UseforMeta	Response	0.0322	0.0269	0.7886	0.8323	9.0%	0.0089	100	100	100	100	100	100
Genetic.Information.Processing.Replication.and.Repair.Non.homologous.end.jo-43	UseforMeta	Response	0.1287	0.1287	0.2838	0.2838	0.0%	0	100	100	100	100	100	100
Genetic.Information.Processing.Replication.and.Repair.Nucleotide.excision.r-44	UseforMeta	Response	0.0209	0.0209	0.8613	0.8613	0.0%	0	100	100	100	100	100	100
Genetic.Information.Processing.Transcription.Basal.transcription.factors-45	UseforMeta	Response	0.3365	0.3365	0.0054	0.0054	0.0%	0	65.3846153846154	97.4358974358974	51.1627906976744	85.7142857142857	90.8045977011494	98.4848484848485
Genetic.Information.Processing.Transcription.RNA.polymerase-46	UseforMeta	Response	0.1326	0.1326	0.2684	0.2684	0.0%	0	100	100	100	100	100	100
Genetic.Information.Processing.Transcription.Transcription.factors-47	UseforMeta	Response	0.1381	0.1381	0.2492	0.2492	0.0%	0	100	100	100	100	100	100
Genetic.Information.Processing.Transcription.Transcription.machinery-48	UseforMeta	Response	0.0280	0.0330	0.8161	0.8281	33.8%	0.0462	100	100	100	100	100	100
Genetic.Information.Processing.Translation.Aminoacyl.tRNA.biosynthesis-49	UseforMeta	Response	0.1589	0.1589	0.1847	0.1847	0.0%	0	100	100	100	100	100	100
Genetic.Information.Processing.Translation.RNA.transport-50	UseforMeta	Response	0.2611	0.2611	0.0302	0.0302	0.0%	0	100	100	100	100	100	100
Genetic.Information.Processing.Translation.Ribosome-51	UseforMeta	Response	0.0427	0.0423	0.7221	0.7264	1.1%	0.0010	100	100	100	100	100	100
Genetic.Information.Processing.Translation.Ribosome.Biogenesis-52	UseforMeta	Response	0.2220	0.2220	0.0649	0.0649	0.0%	0	100	100	100	100	100	100
Genetic.Information.Processing.Translation.Ribosome.biogenesis.in.eukaryote-53	UseforMeta	Response	0.1663	0.1663	0.1656	0.1656	0.0%	0	100	100	100	100	100	100
Genetic.Information.Processing.Translation.Translation.factors-54	UseforMeta	Response	-0.0356	-0.0464	0.7668	0.7375	21.5%	0.0246	100	100	100	100	100	100
Genetic.Information.Processing.Translation.mRNA.surveillance.pathway-55	UseforMeta	Response	0.2881	0.2881	0.0166	0.0166	0.0%	0	0	35.8974358974359	13.953488372093	26.1904761904762	14.9425287356322	21.2121212121212
Human.Diseases.Cancers.Bladder.cancer-56	UseforMeta	Response	0.0152	0.0319	0.8997	0.8455	42.4%	0.0668	73.0769230769231	94.8717948717949	81.3953488372093	85.7142857142857	80.4597701149425	68.1818181818182
Human.Diseases.Cancers.Chronic.myeloid.leukemia-57	UseforMeta	Response	0.0276	0.0276	0.8176	0.8176	0.0%	0	30.7692307692308	7.69230769230769	0	0	6.89655172413793	13.6363636363636
Human.Diseases.Cancers.Colorectal.cancer-58	UseforMeta	Response	0.0665	0.1397	0.5818	0.4478	53.7%	0.1058	23.0769230769231	23.0769230769231	20.9302325581395	52.3809523809524	34.4827586206897	54.5454545454545
Human.Diseases.Cancers.Pathways.in.cancer-59	UseforMeta	Response	-0.0028	-0.0028	0.9811	0.9811	0.0%	0	100	100	100	100	100	100
Human.Diseases.Cancers.Prostate.cancer-60	UseforMeta	Response	-0.0541	-0.0541	0.6513	0.6513	0.0%	0	100	100	100	100	100	100
Human.Diseases.Cancers.Renal.cell.carcinoma-61	UseforMeta	Response	-0.0284	-0.0044	0.8136	0.9777	38.7%	0.0571	100	100	100	100	98.8505747126437	100
Human.Diseases.Cancers.Small.cell.lung.cancer-62	UseforMeta	Response	0.0665	0.1397	0.5818	0.4478	53.7%	0.1058	23.0769230769231	23.0769230769231	20.9302325581395	52.3809523809524	34.4827586206897	54.5454545454545
Human.Diseases.Cardiovascular.Diseases.Viral.myocarditis-63	UseforMeta	Response	0.0665	0.1397	0.5818	0.4478	53.7%	0.1058	23.0769230769231	23.0769230769231	20.9302325581395	52.3809523809524	34.4827586206897	54.5454545454545
Human.Diseases.Immune.System.Diseases.Primary.immunodeficiency-64	UseforMeta	Response	-0.3317	-0.3981	0.0063	0.0370	56.4%	0.1197	100	100	100	100	100	100
Human.Diseases.Immune.System.Diseases.Systemic.lupus.erythematosus-65	UseforMeta	Response	0.0588	0.0572	0.6244	0.6548	10.1%	0.0101	3.84615384615385	64.1025641025641	58.1395348837209	92.8571428571429	42.5287356321839	59.0909090909091
Human.Diseases.Infectious.Diseases.African.trypanosomiasis-66	UseforMeta	Response	0.0505	0.0555	0.6747	0.7219	36.7%	0.0525	100	100	100	100	98.8505747126437	100
Human.Diseases.Infectious.Diseases.Amoebiasis-67	UseforMeta	Response	-0.0097	0.0071	0.9359	0.9649	40.2%	0.0607	100	100	100	100	100	100
Human.Diseases.Infectious.Diseases.Bacterial.invasion.of.epithelial.cells-68	UseforMeta	Response	0.0302	0.0388	0.8015	0.7960	32.2%	0.0429	80.7692307692308	97.4358974358974	95.3488372093023	100	89.6551724137931	93.9393939393939
Human.Diseases.Infectious.Diseases.Chagas.disease.American.trypanosomiasis-69	UseforMeta	Response	0.0508	0.0569	0.6729	0.7300	43.2%	0.0690	92.3076923076923	94.8717948717949	97.6744186046512	100	93.1034482758621	95.4545454545455
Human.Diseases.Infectious.Diseases.Epithelial.cell.signaling.in.Helicobacte-70	UseforMeta	Response	0.1129	0.1064	0.3480	0.4843	33.8%	0.0462	100	100	100	100	100	100
Human.Diseases.Infectious.Diseases.Hepatitis.C-71	UseforMeta	Response	0.2878	0.2878	0.0167	0.0167	0.0%	0	0	35.8974358974359	13.953488372093	21.4285714285714	14.9425287356322	21.2121212121212
Human.Diseases.Infectious.Diseases.Influenza.A-72	UseforMeta	Response	0.1096	0.1845	0.3641	0.3099	52.5%	0.1009	23.0769230769231	51.2820512820513	30.2325581395349	66.6666666666667	42.5287356321839	62.1212121212121
Human.Diseases.Infectious.Diseases.Measles-73	UseforMeta	Response	0.2878	0.2878	0.0167	0.0167	0.0%	0	0	35.8974358974359	13.953488372093	21.4285714285714	14.9425287356322	21.2121212121212
Human.Diseases.Infectious.Diseases.Pathogenic.Escherichia.coli.infection-74	UseforMeta	Response	0.0545	0.0556	0.6509	0.7200	36.1%	0.0512	34.6153846153846	20.5128205128205	37.2093023255814	57.1428571428571	35.632183908046	37.8787878787879
Human.Diseases.Infectious.Diseases.Pertussis-75	UseforMeta	Response	-0.0906	-0.0860	0.4511	0.5189	16.1%	0.0173	100	100	100	100	100	100
Human.Diseases.Infectious.Diseases.Shigellosis-76	UseforMeta	Response	0.0863	0.0863	0.4723	0.4723	0.1%	0.0001	38.4615384615385	48.7179487179487	39.5348837209302	57.1428571428571	39.0804597701149	40.9090909090909
Human.Diseases.Infectious.Diseases.Staphylococcus.aureus.infection-77	UseforMeta	Response	-0.1404	-0.1412	0.2431	0.2970	18.1%	0.0200	100	100	100	100	100	100
Human.Diseases.Infectious.Diseases.Toxoplasmosis-78	UseforMeta	Response	0.0665	0.1397	0.5818	0.4478	53.7%	0.1058	23.0769230769231	23.0769230769231	20.9302325581395	52.3809523809524	34.4827586206897	54.5454545454545
Human.Diseases.Infectious.Diseases.Tuberculosis-79	UseforMeta	Response	0.0697	0.0697	0.5607	0.5607	0.0%	0	100	100	100	100	100	100
Human.Diseases.Infectious.Diseases.Vibrio.cholerae.infection-80	UseforMeta	Response	0.2504	0.2504	0.0369	0.0369	0.0%	0	7.69230769230769	58.974358974359	20.9302325581395	30.952380952381	27.5862068965517	34.8484848484849
Human.Diseases.Infectious.Diseases.Vibrio.cholerae.pathogenic.cycle-81	UseforMeta	Response	-0.0816	-0.0780	0.4972	0.5788	23.5%	0.0278	100	100	100	100	100	100
Human.Diseases.Metabolic.Diseases.Type.II.diabetes.mellitus-82	UseforMeta	Response	0.0331	0.0331	0.7819	0.7819	0.0%	0	100	100	100	100	100	100
Human.Diseases.Metabolic.Diseases.Type.I.diabetes.mellitus-83	UseforMeta	Response	-0.1295	-0.1295	0.2793	0.2793	0.0%	0	100	100	100	100	100	100
Human.Diseases.Neurodegenerative.Diseases.Alzheimers.disease-84	UseforMeta	Response	0.0813	0.0813	0.4980	0.4980	0.0%	0	100	100	100	100	100	100
Human.Diseases.Neurodegenerative.Diseases.Amyotrophic.lateral.sclerosis.ALS-85	UseforMeta	Response	-0.1823	-0.1823	0.1288	0.1288	0.0%	0	100	100	100	100	100	100
Human.Diseases.Neurodegenerative.Diseases.Huntingtons.disease-86	UseforMeta	Response	-0.1291	-0.1026	0.2839	0.5095	36.7%	0.0524	100	100	100	100	100	100
Human.Diseases.Neurodegenerative.Diseases.Parkinsons.disease-87	UseforMeta	Response	0.0575	0.1090	0.6333	0.5072	42.7%	0.0676	30.7692307692308	84.6153846153846	55.8139534883721	88.0952380952381	60.9195402298851	80.3030303030303
Human.Diseases.Neurodegenerative.Diseases.Prion.diseases-88	UseforMeta	Response	-0.0771	-0.0771	0.5189	0.5189	0.0%	0	100	100	100	100	98.8505747126437	100
Metabolism.Amino.Acid.Metabolism.Alanine.aspartate.and.glutamate.metabolism-89	UseforMeta	Response	-0.1643	-0.1643	0.1708	0.1708	0.0%	0	100	100	100	100	100	100
Metabolism.Amino.Acid.Metabolism.Amino.acid.related.enzymes-90	UseforMeta	Response	0.0244	0.0093	0.8388	0.9481	26.3%	0.0322	100	100	100	100	100	100
Metabolism.Amino.Acid.Metabolism.Arginine.and.proline.metabolism-91	UseforMeta	Response	0.0145	0.0144	0.9037	0.9069	4.3%	0.0040	100	100	100	100	100	100
Metabolism.Amino.Acid.Metabolism.Cysteine.and.methionine.metabolism-92	UseforMeta	Response	-0.0229	-0.0445	0.8490	0.7490	22.4%	0.0260	100	100	100	100	100	100
Metabolism.Amino.Acid.Metabolism.Glycine.serine.and.threonine.metabolism-93	UseforMeta	Response	-0.2338	-0.2608	0.0528	0.1185	44.2%	0.0723	100	100	100	100	100	100
Metabolism.Amino.Acid.Metabolism.Histidine.metabolism-94	UseforMeta	Response	-0.0647	-0.0647	0.5891	0.5891	0.0%	0	100	100	100	100	100	100
Metabolism.Amino.Acid.Metabolism.Lysine.biosynthesis-95	UseforMeta	Response	0.1253	0.1264	0.2983	0.4317	40.3%	0.0613	100	100	100	100	100	100
Metabolism.Amino.Acid.Metabolism.Lysine.degradation-96	UseforMeta	Response	0.0909	0.1296	0.4502	0.4164	39.5%	0.0591	100	100	100	100	100	100
Metabolism.Amino.Acid.Metabolism.Phenylalanine.metabolism-97	UseforMeta	Response	-0.1152	-0.1152	0.3370	0.3370	0.0%	0	100	100	100	100	100	100
Metabolism.Amino.Acid.Metabolism.Phenylalanine.tyrosine.and.tryptophan.bios-98	UseforMeta	Response	0.1536	0.1094	0.2026	0.4834	37.1%	0.0533	100	100	100	100	100	100
Metabolism.Amino.Acid.Metabolism.Tryptophan.metabolism-99	UseforMeta	Response	0.0425	0.0638	0.7237	0.6514	24.4%	0.0292	100	100	100	100	100	100
Metabolism.Amino.Acid.Metabolism.Tyrosine.metabolism-100	UseforMeta	Response	0.0721	0.0705	0.5484	0.5651	3.4%	0.0031	100	100	100	100	100	100
Metabolism.Amino.Acid.Metabolism.Valine.leucine.and.isoleucine.biosynthesis-101	UseforMeta	Response	0.2763	0.2894	0.0221	0.0478	28.3%	0.0360	100	100	100	100	100	100
Metabolism.Amino.Acid.Metabolism.Valine.leucine.and.isoleucine.degradation-102	UseforMeta	Response	-0.0365	-0.0282	0.7608	0.8237	8.5%	0.0083	100	100	100	100	100	100
Metabolism.Biosynthesis.of.Other.Secondary.Metabolites.Betalain.biosynthesi-103	UseforMeta	Response	0.1248	0.0988	0.2995	0.4856	24.7%	0.0296	42.3076923076923	30.7692307692308	4.65116279069767	11.9047619047619	33.3333333333333	42.4242424242424
Metabolism.Biosynthesis.of.Other.Secondary.Metabolites.Butirosin.and.neomyc-104	UseforMeta	Response	-0.1179	-0.1179	0.3243	0.3243	0.0%	0	100	100	100	100	100	100
Metabolism.Biosynthesis.of.Other.Secondary.Metabolites.Caffeine.metabolism-105	UseforMeta	Response	0.0556	0.0538	0.6432	0.6754	10.7%	0.0108	0	69.2307692307692	53.4883720930233	97.6190476190476	41.3793103448276	60.6060606060606
Metabolism.Biosynthesis.of.Other.Secondary.Metabolites.Flavone.and.flavonol-106	UseforMeta	Response	-0.1405	-0.1405	0.2404	0.2404	0.0%	0	100	100	100	100	100	100
Metabolism.Biosynthesis.of.Other.Secondary.Metabolites.Flavonoid.biosynthes-107	UseforMeta	Response	0.1696	0.1696	0.1576	0.1576	0.0%	0	100	100	100	100	100	100
Metabolism.Biosynthesis.of.Other.Secondary.Metabolites.Indole.alkaloid.bios-108	UseforMeta	Response	0.1131	0.0836	0.3471	0.5634	27.6%	0.0344	42.3076923076923	25.6410256410256	4.65116279069767	11.9047619047619	33.3333333333333	42.4242424242424
Metabolism.Biosynthesis.of.Other.Secondary.Metabolites.Isoquinoline.alkaloi-109	UseforMeta	Response	-0.2218	-0.2508	0.0669	0.2019	59.3%	0.1335	100	100	100	100	100	100
Metabolism.Biosynthesis.of.Other.Secondary.Metabolites.Novobiocin.biosynthe-110	UseforMeta	Response	-0.0420	-0.0720	0.7275	0.6943	53.6%	0.1050	100	100	100	100	100	100
Metabolism.Biosynthesis.of.Other.Secondary.Metabolites.Penicillin.and.cepha-111	UseforMeta	Response	-0.0604	-0.0388	0.6153	0.7903	28.6%	0.0361	100	100	100	100	100	100
Metabolism.Biosynthesis.of.Other.Secondary.Metabolites.Phenylpropanoid.bios-112	UseforMeta	Response	-0.2468	-0.2468	0.0400	0.0400	0.0%	0	100	100	100	100	100	100
Metabolism.Biosynthesis.of.Other.Secondary.Metabolites.Stilbenoid.diarylhep-113	UseforMeta	Response	-0.0579	-0.0579	0.6289	0.6289	0.0%	0	73.0769230769231	100	97.6744186046512	97.6190476190476	96.551724137931	100
Metabolism.Biosynthesis.of.Other.Secondary.Metabolites.Streptomycin.biosynt-114	UseforMeta	Response	-0.2303	-0.2303	0.0552	0.0552	0.0%	0	100	100	100	100	100	100
Metabolism.Biosynthesis.of.Other.Secondary.Metabolites.Tropane.piperidine.a-115	UseforMeta	Response	-0.1420	-0.1529	0.2374	0.2617	19.1%	0.0213	100	100	100	100	100	100
Metabolism.Biosynthesis.of.Other.Secondary.Metabolites.beta.Lactam.resistan-116	UseforMeta	Response	-0.1032	-0.1032	0.3887	0.3887	0.0%	0	100	100	100	100	100	100
Metabolism.Carbohydrate.Metabolism.Amino.sugar.and.nucleotide.sugar.metabol-117	UseforMeta	Response	-0.3442	-0.3442	0.0043	0.0043	0.0%	0	100	100	100	100	100	100
Metabolism.Carbohydrate.Metabolism.Ascorbate.and.aldarate.metabolism-118	UseforMeta	Response	-0.1110	-0.1110	0.3550	0.3550	0.0%	0	100	100	100	100	100	100
Metabolism.Carbohydrate.Metabolism.Butanoate.metabolism-119	UseforMeta	Response	0.1606	0.1755	0.1817	0.1890	16.2%	0.0175	100	100	100	100	100	100
Metabolism.Carbohydrate.Metabolism.C5.Branched.dibasic.acid.metabolism-120	UseforMeta	Response	0.2221	0.2374	0.0654	0.1144	32.0%	0.0429	100	100	100	100	100	100
Metabolism.Carbohydrate.Metabolism.Citrate.cycle.TCA.cycle-121	UseforMeta	Response	-0.1437	-0.1437	0.2311	0.2311	0.0%	0	100	100	100	100	100	100
Metabolism.Carbohydrate.Metabolism.Fructose.and.mannose.metabolism-122	UseforMeta	Response	-0.2591	-0.2591	0.0313	0.0313	0.0%	0	100	100	100	100	100	100
Metabolism.Carbohydrate.Metabolism.Galactose.metabolism-123	UseforMeta	Response	-0.2090	-0.2090	0.0815	0.0815	0.0%	0	100	100	100	100	100	100
Metabolism.Carbohydrate.Metabolism.Glycolysis.Gluconeogenesis-124	UseforMeta	Response	0.0857	0.0873	0.4752	0.5058	13.8%	0.0144	100	100	100	100	100	100
Metabolism.Carbohydrate.Metabolism.Glyoxylate.and.dicarboxylate.metabolism-125	UseforMeta	Response	-0.0209	-0.0209	0.8618	0.8618	0.0%	0	100	100	100	100	100	100
Metabolism.Carbohydrate.Metabolism.Inositol.phosphate.metabolism-126	UseforMeta	Response	-0.1216	-0.1216	0.3092	0.3092	0.0%	0	100	100	100	100	100	100
Metabolism.Carbohydrate.Metabolism.Pentose.and.glucuronate.interconversions-127	UseforMeta	Response	-0.1993	-0.1993	0.0967	0.0967	0.0%	0	100	100	100	100	100	100
Metabolism.Carbohydrate.Metabolism.Pentose.phosphate.pathway-128	UseforMeta	Response	-0.0717	-0.0628	0.5508	0.6698	29.9%	0.0385	100	100	100	100	100	100
Metabolism.Carbohydrate.Metabolism.Propanoate.metabolism-129	UseforMeta	Response	0.2432	0.2446	2.01	0.1209	37.9%	0.0555	100	100	100	100	100	100
Metabolism.Carbohydrate.Metabolism.Pyruvate.metabolism-130	UseforMeta	Response	0.1225	0.1152	0.3091	0.4775	41.4%	0.0640	100	100	100	100	100	100
Metabolism.Carbohydrate.Metabolism.Starch.and.sucrose.metabolism-131	UseforMeta	Response	-0.2164	-0.2164	0.0714	0.0714	0.0%	0	100	100	100	100	100	100
Metabolism.Energy.Metabolism.Carbon.fixation.in.photosynthetic.organisms-132	UseforMeta	Response	-0.2317	-0.2349	0.0544	0.0690	10.9%	0.0111	100	100	100	100	100	100
Metabolism.Energy.Metabolism.Carbon.fixation.pathways.in.prokaryotes-133	UseforMeta	Response	-0.1255	-0.1255	0.2955	0.2955	0.0%	0	100	100	100	100	100	100
Metabolism.Energy.Metabolism.Methane.metabolism-134	UseforMeta	Response	0.1521	0.1232	0.2081	0.4947	52.3%	0.0996	100	100	100	100	100	100
Metabolism.Energy.Metabolism.Nitrogen.metabolism-135	UseforMeta	Response	-0.2860	-0.2860	0.0174	0.0174	0.0%	0	100	100	100	100	100	100
Metabolism.Energy.Metabolism.Oxidative.phosphorylation-136	UseforMeta	Response	-0.1102	-0.1102	0.3579	0.3579	0.0%	0	100	100	100	100	100	100
Metabolism.Energy.Metabolism.Photosynthesis-137	UseforMeta	Response	0.0068	0.0051	0.9549	0.9672	4.1%	0.0038	100	100	100	100	100	100
Metabolism.Energy.Metabolism.Photosynthesis.antenna.proteins-138	UseforMeta	Response	0.0027	0.0027	0.9819	0.9819	0.0%	0	0	0	0	2.38095238095238	2.29885057471264	6.06060606060606
Metabolism.Energy.Metabolism.Photosynthesis.proteins-139	UseforMeta	Response	0.0120	0.0112	0.9201	0.9269	2.1%	0.0019	100	100	100	100	100	100
Metabolism.Energy.Metabolism.Sulfur.metabolism-140	UseforMeta	Response	-0.0953	-0.0953	0.4270	0.4270	0.0%	0	100	100	100	100	100	100
Metabolism.Enzyme.Families.Peptidases-141	UseforMeta	Response	-0.2003	-0.2255	0.0966	0.1439	35.3%	0.0496	100	100	100	100	100	100
Metabolism.Enzyme.Families.Protein.kinases-142	UseforMeta	Response	0.1952	0.2201	0.1051	0.1227	25.2%	0.0306	100	100	100	100	100	100
Metabolism.Glycan.Biosynthesis.and.Metabolism.Glycosaminoglycan.degradation-143	UseforMeta	Response	-0.2056	-0.2056	0.0865	0.0865	0.0%	0	100	100	100	100	100	100
Metabolism.Glycan.Biosynthesis.and.Metabolism.Glycosphingolipid.biosynthesi-144	UseforMeta	Response	-0.2256	-0.2256	0.0602	0.0602	0.0%	0	100	100	100	100	100	100
Metabolism.Glycan.Biosynthesis.and.Metabolism.Glycosphingolipid.biosynthesi-145	UseforMeta	Response	-0.2421	-0.2421	0.0437	0.0437	0.0%	0	100	100	100	100	100	100
Metabolism.Glycan.Biosynthesis.and.Metabolism.Glycosphingolipid.biosynthesi-146	UseforMeta	Response	-0.2749	-0.2749	0.0223	0.0223	0.0%	0	84.6153846153846	100	93.0232558139535	97.6190476190476	94.2528735632184	98.4848484848485
Metabolism.Glycan.Biosynthesis.and.Metabolism.Glycosyltransferases-147	UseforMeta	Response	-0.0823	-0.1019	0.4946	0.5466	45.7%	0.0765	100	100	100	100	100	100
