species	ERR2162200	ERR2162201	ERR2162202	ERR2162203	ERR2162204	ERR2162205	ERR2162206	ERR2162207	ERR2162208	ERR2162209	ERR2162210	ERR2162211	ERR2162212	ERR2162213	ERR2162214	ERR2162215	ERR2162216	ERR2162217	ERR2162218	ERR2162219	ERR2162220	ERR2162221	ERR2162222	ERR2162223	ERR2162224	SRR5930493	SRR5930494	SRR5930495	SRR5930496	SRR5930497	SRR5930498	SRR5930499	SRR5930500	SRR5930501	SRR5930502	SRR5930503	SRR5930504	SRR5930505	SRR5930506	SRR5930507	SRR5930508	SRR5930509	SRR5930510	SRR5930511	SRR5930512	SRR5930513	SRR5930514	SRR5930515	SRR5930516	SRR5930517	SRR5930518	SRR5930519	SRR5930520	SRR5930521	SRR5930522	SRR5930523	SRR5930524	SRR5930525	SRR5930526	SRR5930527	SRR5930528	SRR5930529	SRR5930530	SRR5930531	SRR5930532	SRR5930533	SRR5930534	SRR5930535	SRR5930536	SRR6000869	SRR6000870	SRR6000871	SRR6000873	SRR6000874	SRR6000877	SRR6000878	SRR6000890	SRR6000891	SRR6000892	SRR6000893	SRR6000894	SRR6000895	SRR6000896	SRR6000899	SRR6000900	SRR6000901	SRR6000902	SRR6000903	SRR6000905	SRR6000906	SRR6000907	SRR6000908	SRR6000909	SRR6000910	SRR6000911	SRR6000912	SRR6000920	SRR6000921	SRR6000931	SRR6000932	SRR6000940	SRR6000942	SRR6000943	SRR6000944	SRR6000945	SRR6000946	SRR6000947	SRR6000949
s__Actinomyces_johnsonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00161129677164182	0.0020902881894396	0	0	0.000262747763561776	0	0	0	0	0.0292584739591546	0	0	0	0.0108614815060774	0	0	0	0	0.00242012366831945	0.00147042171694842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000910267163412462	0	0	0	0	0	0	0.00333043029159367	0	0	0	0	0	0	0	0	0.00113009481495497	0	0	0	0	0	0	0	0	0	0	0
s__Actinomyces_massiliensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00229399008955859	0	0	0	0	0	0	0	0	0.00547074620978301	0	0	0	0	0	0.00284081474566906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0231968082632253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Actinomyces_naeslundii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00702095765862463	0	0	0	0.000620231222199636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000790231933072357	0	0	0	0	0	0	0.00614079339050605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Actinomyces_odontolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00316999841500079	0.0097505762590569	0.00266212943733693	0.00651445262837149	0.00220063532341787	0.00239012978404727	0.00134007544624762	0.00849062765332114	0.00509669705993676	0	0	0.00170136926198204	0.000572819359606045	0	0.00720633436790939	0.00696281573438708	0	0.00569131013959413	0.0034600792358145	0.00580056555514163	0	0.0414418151515036	0	0	0.00465063434652486	0	0.00616850822339253	0.00794020088708244	0.025079349581524	0.00198010118317046	0.00728208850298265	0.000900012420171399	0.00532017662986411	0	0.00731165535877322	0.00364028649054681	0.000450013905429678	0.000780101257143177	0.0447858955539647	0.00322000032200003	0.000460248350009665	0.0164374072142399	0.000790009875123439	0	0	0	0	0	0	0.00317770275146956	0.00303564388720834	0	0	0.0149410473674205	0.175911630063424	0	0	0	0.00891437160783648	0	0	0.00489063186963756	0	0	0	0	0.00793435516755147	0.0013741253992737	0	0	0.00504042289148059	0	0	0	0	0	0	0	0	0.0113203407422563	0	0
s__Actinomyces_oris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00703038174972901	0.00559031473471957	0	0	0	0	0	0.00237167313801801	0	0.00231203227637093	0.00326413567809438	0	0	0	0	0	0	0	0	0.000210028647907574	0	0.00291401930682991	0.0038000961424324	0.0275702781997128	0	0	0	0.00154005112969751	0	0	0	0	0	0	0.00106000010600001	0.001380745050029	0.00449475995078789	0	0	0	0	0	0	0	0	0	0	0	0	0.0280082204126911	0	0	0	0	0	0	0.0265434294110799	0	0	0	0	0.00994545906247939	0	0	0	0.0015001258605597	0	0	0	0.0101105085585805	0	0	0	0	0	0	0
s__Actinomyces_sp_HPA0247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0659702284584263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Actinomyces_sp_ICM47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0751913933173324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Actinomyces_turicensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0256913950427508	0.0449325297014222	0.0122486095969213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0038314283564913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Actinomyces_viscosus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000450129952517292	0.00880047786594812	0.00526029615467351	0	0	0	0	0	0	0.00165020198472293	0.00296260412902942	0.00871109893039428	0	0	0.000870019923456247	0.00306029837909196	0	0.00084003679361156	0.000440007744136297	0	0.00113015415302647	0.00126740710735753	0.0105845993378667	0.00464011739497009	0.00454169314320378	0	0	0	0.00370012284407842	0	0	0	0	0	0.0124106842002366	0.000810000081000008	0	0.00466494017164177	0	0	0	0	0	0	0	0	0	0	0	0	0.00822241327829718	0	0	0	0	0	0	0.0247031916523615	0	0	0.00728057953413092	0	0.0367101502014456	0	0	0	0.00274022990528905	0	0	0	0.0214310779832226	0	0	0	0	0	0	0
s__Adlercreutzia_equolifaciens	0	0	0.104606483878103	0	0.0049300009860002	0	0	0.141327925562685	0.00804999919500008	0	0.00050182277085056	0	0.00392171065018561	0	0.0266046930678572	0.0234200046840009	0	0.0532399840280048	0.00427580637342063	0.01903	0	0.000360875230697009	0	0	0	0.159997635052187	0.594309702845149	0.645138127663345	1.41399105144205	0.493937606353943	0.520660314632834	0	0	0.00130625040820325	0	0.161812589109468	1.63300587882116	0.34548804878166	0	0.264212339590366	0.040425534044425	0.0602905060542138	0.0691306285795681	0.148784250134381	0.139663198287241	0	0.0272295650200028	0.203588917194573	0.0733912916867337	0.00223000022300002	0.120206396152435	0	0.187799031203739	0.0946123936935605	0.30164245230622	0	0	0.56337777461329	0.0592619674973209	0	0.629022410673776	0.000370029121291846	0.0680121015739386	0.458789550883705	2.70925571817518	0.0696200069620007	0.236417570921269	0.030372164121805	0	0	0.0328507875378069	0	0.15831021385509	0.374289925142015	0	0.0838632846018749	0.167221760621185	0.05533	0.110693276520985	0.027661939101931	0.14144151308409	0.021879993436002	0.00369353212477092	0.0400925458766632	0	0	0.194631224011764	0	0.033400020040012	0.0624715617890447	1.07257537700001	0	0.061113545224974	0.263852136885357	0.0133342790553039	0	0.0204317142208231	0.03335	0.0457207537375665	0.0468901879029719	0.913685958403708	0.0194686785586238	0	0.0153203401115505	0	0.028830867809121	0.0215760418793068	0.00510293112363742
s__Aeromonas_caviae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0208800020880002	0	0	0	0	0	0	0	0	0	0	0	0
s__Aeromonas_hydrophila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.102176862792844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.136982021710449	0	0	0	0	0	0	0	0	0
s__Aeromonas_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0574600057460006	0	0	0	0	0	0	0	0	0	0	0	0
s__Aggregatibacter_aphrophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0202899501915739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Akkermansia_muciniphila	0.00694614108333177	4.58629881980434	0	0	0	0.313966310722846	0.10736996778901	10.4882269300367	0	0	0.417827675465594	0	0.304462806676272	0	0	1.59098031819606	0	0	0.360010852117021	1.31566	0	0	0	1.28141100844002	25.2476807029566	0.0191917391997491	0.64059967970016	20.1252894046038	21.8581943696763	0.025197222301443	0.13283835043177	10.6654891360601	11.2805550952519	9.92467959184699	0.00638839435017613	0.103430006726602	0.00285001026003694	0	0.0166519592783722	1.1610721152269	0.0120806188639814	8.76272886593417	0.128398314056915	0.0654750723616576	0.0356308159456852	0.0611959666067441	0.54274318532677	0.0565524769984925	0.00535009416165724	36.2360036236004	0	1.31622239856393	0.0279785908703875	0.110102785600476	0.554706794693061	0.0332717001838794	0.0679594907819563	0.45898633401141	0.00222007370644705	5.16697065734255	0.0597935372568349	3.03125856004868	2.89878957259779	0.00787102165861129	0.00844911322919624	0.0464100046410005	8.84143083607915	0.00185196122693933	0.00665008312603908	0.0922217429909425	0.0438744745475983	0.00100056061411209	2.6013046060495	0.0130999973800005	4.9350409870082	0.685742239187791	0	0.12218	36.5463417717164	4.31202227276132	2.04541032793125	0.00641999807400058	0.00227217287892411	7.00053453394291	0	21.9898523128204	0	0.000660085283018566	13.3113479868088	3.03465586639666	1.03414231772849	0	0.425903778584065	0	2.6891864707259	0.00365000036500004	2.67956481548802	0.17681	0.00564750440385184	11.1135849259753	0	1.27923117082543	0.373819887854034	0.0213904748685421	0	6.370791760832	0.179667680775548	0.531625365610006
s__Alistipes_finegoldii	0.960339035741499	0.473771488185791	0	0.00249363796843215	0.473820094764019	1.03573081818945	0	0	0.145209985479001	0	0	0	1.43706684855934	0	0.00861151907196429	0.205600041120008	0	0.789519763144071	0	0.85151	0	0.010014287651842	0.165620049686015	0	0	0.0387002124816456	0.304029847985076	0	0.00178142496182697	0	0.00123035520354726	0.000950051587801218	0	0.0680355501072633	0.00511672337451411	0.0901148564264658	0.512991846770648	0.0379005023242706	0.180136614402427	0.00243029746841013	0.129423763488106	2.46126946379851	0	0.022645212928016	0	0	0.180201263749122	0	0.0229704042791153	0.0275800027580003	0.00137018689349227	2.71911130218335	0.594840463451238	0.00105002656567211	0.783832212648875	0.0628432112880968	0.0141040450401175	0.298704122116885	0.0107203559158164	2.17507981131558	0.00416094203727724	1.76428884953246	0.306349466198505	0.0118015318388327	0.00570734800912594	0.453470045347005	0.0130470401828827	0.0677617597035261	0.189322366529582	0.347256563149044	0.235502399779566	0	1.43732966067535	0.0810399837920032	0	8.49105231080138	0	0.16457	0.00800023680700949	1.38295694528186	0.198558276854257	0.0544799836560049	0.0666737601167997	0.273027337235914	0	0	2.13882582594929	0	0.476040285624171	0.246366159153979	0.0238618994071928	0.385429961457004	0	0	0.0814382828253684	0	0.653404820664453	0.07189	0.225349444341641	0	0.0902545398033521	0.0999710049591868	0	0.358967969088914	0	0.000440013244398656	0.781890620569907	0
s__Alistipes_indistinctus	0	0.778039739962472	0	0	0	0	0	0	0.234279976572002	0	0	0.069554488199892	0.210841969266994	0	0	0.0537200107440022	1.26193884970608	0	0	0	0	0.0379620694069326	0	0	0	0	0.323419838290081	0.103516117802562	0.0866292947728889	0	0.211921181645141	0	0	0.0584898740473164	0	0.0883041560475592	0.169700610922199	0	0.690106635850995	0	0.0107394399677316	0.746021746217595	0	0.0395991157164379	0	0	0.015598492982687	0	0.13523238008989	0.102120010212001	0	0	0	0	0.22268301622845	0.0352117993229454	0.0508845937014736	0.275393800434446	0	0.0988945629811226	0.686695467853922	0.186254658241604	0.392622132023879	0.0160520835604461	0	0.00116000011600001	0	0.0123330607112933	0	0	0.00824023107089762	0	0	0	0	0	0	0.22295	0	0.134379419997342	0	0	0	0.229414567825057	0	0	0	0	0	0.0354308857721443	0.386140736802649	0	0	0	0.063966470148847	0	0	0.12634	0.012356419209846	0.767544144920499	1.00440052134622	0	0	0.122542720448394	0	0	0	0
s__Alistipes_onderdonkii	0	1.10660164791131	0	0.0415806620278324	0.623850124770025	1.63428284908527	0	0	0.326489967351003	0	2.69913406466308	3.12548103770015	1.32562823903787	2.6288699357738	0.33178852749625	0.184980036996007	0	3.43488896953331	0	9.7017	0	0.694905353954947	1.0843803253141	0	0	0.423848856372942	0.865349567325216	2.17653863343324	1.80464353436314	0.0163011418304411	4.42191660732453	1.69720215807718	1.79441102534073	0.151434614631009	1.96043601292098	1.52914147192134	0	0.637352941647438	0.00379869680580851	0	0.912371974965995	12.919469225264	0.000570170138769409	0.0819688692336976	0.00137003137371846	0.00273026620095459	0.146593692905548	0.00267011695112246	0.316465569794028	0.199100019910002	0	0.000170999371627603	0.857883278405905	1.21252067677312	4.35905505572477	2.5806418707996	0.754206306368666	0.70084967172547	0.0718923868272427	0.102918410584201	1.05948986850623	0.0185114568516542	0.0301209307367598	0.177072984073333	0.0204569258052592	1.18004011800401	0.0309166826419536	0.732735967389466	0.0132301653770672	3.73464058470705	6.32178913338801	0	21.0600089518032	7.74857845028431	15.6125931225186	17.4435130756955	2.28020078673436	2.01625	2.68165937711756	0.117438232420093	5.87941560848109	0.0894799731560081	3.79488905240081	0.189872056875612	0.00395193803041011	0	1.84838273832018	0.404262230680204	1.74887104932263	1.63655091377284	0.540333010507636	2.00730979926902	2.07863096053424	0.826611653506156	0.678655696291808	0	0.389152649907327	0.81172	0.844792560354199	11.7286008732422	1.72390671250764	1.18679806486002	3.45095896471231	4.19030302472715	0	22.6031303542237	0.289873075267813	0.000100057473012498
s__Alistipes_putredinis	13.5886537287616	17.670235360235	0	4.24045640184465	5.67288113457623	8.17811438009904	0	3.3333316638561	3.76045962395404	0	8.32675527317877	5.21060536909838	3.44937461720802	9.8111541091466	11.7373404668584	6.26282125256425	13.851890061977	0	9.96629239308954	8.77826	0	2.19453239942833	11.541523462457	0	7.15407356826423	0.386216155057053	3.55203822398089	2.71720058655466	7.63763934771424	3.33108679782631	6.91473628436529	1.73178403587315	1.93477892805365	1.00330079430073	0.00791039425805509	4.17530500797709	0.0117100421561518	4.31790504998423	4.98167932748193	0.0118914555141549	4.03234443075463	5.9896283352039	2.40399735281008	0.25700916350944	0.165383787288729	0.00792077227529684	0.950774852376786	0.000690030223323781	0.736172956644037	0.0336700033670003	4.7494378233191	0.0147864162525045	0.0153712014982265	0.0436211036139214	0.00962358767348467	3.78620347499757	1.28150753636143	3.35805634117751	0.00866028752154571	11.9876926316944	4.40437715098698	0.0133810530888781	4.27780218408749	0.398081671000896	2.78968456159006	0.0147100014710001	4.36838718172326	3.77656938698081	2.98527731596645	0	3.68308291574819	0	10.6119457463801	0	0.219330043866009	0.264320713409304	0	6.30028	7.10372027012	6.23635716863752	10.1372252756184	1.03171969048409	3.54979466864162	5.37228113985238	0	0	11.2826861113912	0	6.70240402144242	8.68196704917623	2.63788997604209	0	0	0	2.84577158089449	0	0.00114009565402537	0.00558	4.05913377696283	10.1141614971719	9.97074152829887	0	0	9.64926421366555	0	2.26636821768335	2.82468093904381	6.1259287334645
s__Alistipes_senegalensis	0	0.0428528445169851	0	0.127365813986024	0	0.00141002834156967	0	0	0	0	0	0.00883183967220372	0.0231200849810687	0	0	0	0.015063482287381	0	0.0470439072117898	0	0	0.00871112709654726	0	0	0	0.000328464974078835	0.00153999923000039	0.00268015839736128	0.0769015135206652	0.0113677698707066	0.00963278098387004	0.0284015422037417	0.0356820088971009	0.141276005687213	0	0.0714976552930674	0	0.00191153840610924	0.000130643011839975	0	0	0	0	0.000730168084693096	0	0	0.00315384854897856	0	0.00397006987322977	0.0730800073080007	0.00460062752559448	0	0	0	0.00253094353575013	0.00123006285621195	0	0	0.00065002158071648	0.00136130167666323	0.0426496558820917	0	0.0388812014291242	0	0	0.000150000015000001	0.000470253748922919	0	0	0	0.00354440072794381	0.00343192290640446	0.000661463289088121	0	0	0	0	0.00059	0.00895026492784187	0.0234416432591925	0	0.0404099878770037	0	0	0	0	0	0	0.0158100094860057	0	0	0.00395999960400004	0.00158086773830155	0	0.0212687260964765	0	0	0.00054	0.0020627409702012	0.00972626176732579	0	0	0	0	0	0.0748622533538259	0.0163496123172805	0
s__Alistipes_shahii	1.72305335146803	5.06050215057608	0	1.18086276068156	0.184190036838007	0.638872841344111	0	0.0799045192581711	0	0	0.875449896659637	0.347312345161497	1.31983571233772	0	0	0.25404005080801	0	0	0.803430039828233	0	0	0.297922551564309	0.729040218712065	0	0	0.629116003388351	0.0444899777550111	0.131617778610716	1.63985171738874	0.582778328987863	0.419781190829792	0.14061763553761	0.161389086205553	1.64869902483383	0	1.00176748366268	1.57571567257642	0.758720618353651	1.1325141212534	0.00173021177792162	0.42229119395949	0.0054469632522999	0.980872692411415	0.0335377203832322	0.0119102727452459	0	1.97951203735603	0	0.145792565949161	0.185210018521002	0.66062010858281	0.000191116944760262	0.00369509664680494	0.00764019329689041	0.0449967747976446	0.963089213858828	1.11801064545312	0.0337104652044198	0.155265154803139	0.00755722621971129	1.00147673433265	0.00281022116440564	0.679360992254661	0.00285036997802315	2.73762459504407	0.695350069535007	1.73591670065167	0.383446069387481	0.36185452318154	0	0.703413358025324	0.163301497829234	1.08666391791922	0	0	0	0	0.88556	0.29609876452343	3.88091205193484	0	1.21372963588111	0.215305897029329	0.71406534314929	0	0	0.952148698750763	0	3.62491217494731	0.0063801595039876	0.0159612705171332	0.710839928916008	0.606212750178573	0	0.612004337497716	0.116900011690001	0	0.90595	0.83341744510105	0.61446559294874	3.12097698514235	0.81699462445335	0	1.62088598366884	0	0.915207547747187	3.7239829331414	1.53450141761428
